site,term,estimate,std.error,statistic,p.value
6,log(vpdl),-0.142476455475413,0.00105186806213211,-135.4508807755,0
7,log(vpdl),-0.0938865477266224,0.00110396249622898,-85.0450518449031,0
9,log(vpdl),-0.10144635226218,0.000734267755978177,-138.159889817081,0
8,log(vpdl),-0.104433134955434,0.000849587009621414,-122.922236066169,0
5,log(vpdl),-0.150330484976361,0.00180887084517996,-83.1073624614724,0
3,log(vpdl),-0.0635880324267117,0.00136206383201686,-46.685060517725,0
1,log(vpdl),-0.149894691381898,0.00223000238877768,-67.2172783922708,0
4,log(vpdl),-0.269783788581024,0.00254860731578842,-105.855377134694,0
2,log(vpdl),-0.12444528073899,0.00152792023380656,-81.447498361191,0
