id,day_not_date,site_id,elevation_m_asl,aspect,species,project,plot_id,plant_id,veg_height_cm,rep_height_cm,wet_mass_g,dry_mass_g,leaf_area_cm2,leaf_thickness_mm,wet_sla_cm2_g,sla_cm2_g,ldmc,bulk_nr,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,new_species,n,leaf_area_total_cm2,wet_bulk_nr,wet_nr_pieces,dry_bulk_nr,dry_nr_pieces,dry_mass_total_g,check_scan,remarks,orchids,nr
HFP5572,5,2,2200,east,helichrysum_pallidum,TS,0,0,9.9,NA,1.0155,NA,18.544,0.967,18.260955194485476,NA,NA,1,1.0155,1.101,0.989,0.811,NA,NA,1,18.544,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAM1232,5,1,2000,west,helichrysum_pallidum,TS,0,0,6.5,NA,0.4561,NA,8.877,1.0566666666666666,19.462837097127824,NA,NA,1,0.4561,0.986,1.018,1.166,NA,NA,4,8.877,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWT3356,5,1,2000,east,helichrysum_pallidum,TS,0,0,5,NA,0.3793,NA,7.042,0.888,18.56577906670182,NA,NA,1,0.3793,0.872,0.861,0.931,NA,NA,6,7.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWG7194,5,1,2000,west,helichrysum_pallidum,TS,0,0,9.5,NA,1.4806,NA,25.115,1.2,16.962717817101176,NA,NA,1,1.4806,1.248,1.234,1.118,NA,NA,1,25.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
EYP4665,5,1,2000,east,helichrysum_pallidum,TS,0,0,5,NA,0.3007,NA,6.331,0.903,21.05420685068174,NA,NA,1,0.3007,0.893,0.838,0.978,NA,NA,1,6.331,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERY7982,5,1,2000,west,helichrysum_pallidum,TS,0,0,10.4,NA,1.0388,NA,16.338,1.0966666666666667,15.727762803234503,NA,NA,1,1.0388,1.202,1.053,1.035,NA,NA,3,16.338,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZS0757,5,1,2000,west,helichrysum_pallidum,TS,0,0,5.1,NA,0.6091,NA,13.1,0.8976666666666667,21.50714168445247,NA,NA,1,0.6091,0.921,0.893,0.879,NA,NA,2,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVU8752,5,1,2000,east,helichrysum_pallidum,TS,0,0,9.5,NA,0.7336,NA,13.6,0.9336666666666666,18.538713195201744,NA,NA,1,0.7336,0.967,0.9,0.934,petiole partly damaged,NA,2,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
EYX6560,5,1,2000,east,helichrysum_pallidum,TS,0,0,7,NA,0.2929,NA,5.868,0.7983333333333333,20.034141345169,NA,NA,1,0.2929,0.718,0.833,0.844,NA,NA,3,5.868,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAI0816,5,1,2000,west,helichrysum_pallidum,TS,0,0,11.5,NA,1.6858,0.38,25.139,1.1556666666666666,14.912207853837941,66.15526315789474,0.22541226717285562,1,1.6858,1.155,1.134,1.178,NA,NA,3,25.139,1,1,1,1,0.38,no,NA,NA,162
HCQ9074,5,2,2200,west,helichrysum_pallidum,TS,0,0,12.5,NA,1.2388,NA,23.156,0.959,18.692282854375204,NA,NA,1,1.2388,0.994,0.955,0.928,NA,NA,1,23.156,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSP6158,7,4,2600,west,helichrysum_pallidum,TS,0,0,2.1,NA,0.4621,0.0901,8.104,0.9136666666666666,17.53732958234148,89.94450610432851,0.19497944167929018,1,0.4621,0.746,1,0.995,NA,NA,1,8.104,1,1,1,1,0.0901,no,NA,NA,550
HQW6575,7,4,2600,west,helichrysum_pallidum,TS,0,0,7.4,NA,0.7311,0.1494,13.18,1.165,18.027629599234032,88.21954484605087,0.20434961017644646,1,0.7311,1.066,1.032,1.397,NA,NA,1,13.18,1,1,1,1,0.1494,no,NA,NA,685
HQC7381,7,4,2600,east,helichrysum_pallidum,TS,0,0,5,NA,0.6276,0.1233,11.364,1.29,18.107074569789674,92.1654501216545,0.19646271510516253,1,0.6276,1.168,1.367,1.335,NA,NA,1,11.364,1,1,1,1,0.1233,no,NA,NA,686
HPY8705,7,4,2600,east,helichrysum_pallidum,TS,0,0,5.2,NA,0.4368,0.0829,8.654,1.0986666666666667,19.812271062271062,104.39083232810614,0.18978937728937728,1,0.4368,0.9,1.105,1.291,NA,NA,1,8.654,1,1,1,1,0.0829,no,NA,NA,557
ESN6811,5,1,2000,west,helichrysum_pilosellum,T,5,2,8.2,9.5,0.1718,NA,5.763,0.35300000000000004,33.544819557625146,NA,NA,1,0.1718,0.325,0.337,0.397,NA,NA,1,5.763,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAL1133,5,1,2000,east,helichrysum_pilosellum,T,5,3,6,NA,0.1812,0.0399,6.061,0.31566666666666665,33.44922737306843,151.9047619047619,0.22019867549668873,1,0.1812,0.306,0.341,0.3,NA,NA,1,6.061,1,1,1,1,0.0399,no,NA,NA,114
ESQ9343,5,1,2000,east,helichrysum_pilosellum,T,1,2,10.5,6,0.5293,0.1191,14.206,0.428,26.839221613451727,119.27791771620487,0.22501416965803892,1,0.5293,0.418,0.432,0.434,NA,NA,1,14.206,1,1,1,1,0.1191,no,NA,NA,100
EIT3071,5,1,2000,east,helichrysum_pilosellum,T,1,1,9,11.5,0.563,0.1309,19.019,0.31533333333333335,33.78152753108348,145.2941176470588,0.2325044404973357,1,0.563,0.32,0.312,0.314,NA,NA,2,19.019,1,1,1,1,0.1309,no,NA,NA,122
EMZ8557,5,1,2000,east,helichrysum_pilosellum,T,4,1,9,9,0.3484,NA,10.244,0.37333333333333335,29.402985074626866,NA,NA,1,0.3484,0.38,0.382,0.358,NA,NA,1,10.244,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECH6704,5,1,2000,east,helichrysum_pilosellum,TS,5,1,10,NA,0.36,NA,9.994,0.5276666666666666,27.761111111111113,NA,NA,1,0.36,0.497,0.602,0.484,NA,NA,1,9.994,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPD8671,5,1,2000,east,helichrysum_pilosellum,T,3,3,10.5,NA,0.6752,NA,17.391,0.4083333333333333,25.75681279620853,NA,NA,1,0.6752,0.426,0.393,0.406,NA,NA,1,17.391,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR4941,5,1,2000,east,helichrysum_pilosellum,T,4,2,8.6,5.4,0.2247,NA,7.368,0.485,32.79038718291055,NA,NA,1,0.2247,0.46,0.429,0.566,NA,NA,2,7.368,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOD3204,5,1,2000,east,helichrysum_pilosellum,T,4,3,0.6,NA,0.1414,NA,3.849,0.778,27.220650636492223,NA,NA,1,0.1414,0.668,0.752,0.914,NA,NA,1,3.849,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZM1274,5,1,2000,west,hermannia_woodii,T,3,1,1.1,NA,0.014933333333333333,NA,0.6763333333333333,0.21666666666666667,45.29017857142857,NA,NA,3,0.0448,0.22,0.27,0.16,NA,NA,3,2.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
DPJ3885,6,2,2200,west,hermannia_woodii,T,3,2,2.1,NA,0.0425,0.0115,2.27,0.31966666666666665,53.41176470588235,197.3913043478261,0.27058823529411763,1,0.0425,0.332,0.309,0.318,NA,NA,1,2.27,1,1,1,1,0.0115,no,NA,NA,1101
EYC2542,3,1,2000,west,heteropogon_contortus,T,2,1,6.4,11.5,0.0143,NA,1.1855,0.194,82.9020979020979,NA,NA,2,0.0286,0.175,0.204,0.203,NA,NA,2,2.371,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETX9669,3,1,2000,west,heteropogon_contortus,T,2,2,5.5,NA,0.016166666666666666,NA,1.0986666666666667,0.233,67.95876288659794,NA,NA,3,0.0485,0.213,0.256,0.23,NA,NA,3,3.296,NA,NA,NA,NA,NA,NA,NA,NA,NA
EYF3102,3,1,2000,west,heteropogon_contortus,T,2,3,5.6,NA,0.0206,NA,1.6,0.10833333333333334,77.66990291262137,NA,NA,1,0.0206,0.108,0.113,0.104,NA,NA,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESB1070,5,1,2000,east,heteropogon_contortus,T,5,1,6,19,0.014583333333333332,NA,0.9871666666666666,0.145,67.69142857142857,NA,NA,6,0.0875,0.146,0.147,0.142,NA,NA,6,5.923,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESV6969,5,1,2000,east,heteropogon_contortus,T,5,2,8,NA,0.0159,NA,1.2886666666666666,0.12733333333333335,81.0482180293501,NA,NA,3,0.0477,0.132,0.134,0.116,NA,NA,3,3.866,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMG3940,5,1,2000,west,heteropogon_contortus,T,5,1,8,26,0.023633333333333336,NA,2.2653333333333334,0.119,95.85331452750351,NA,NA,3,0.0709,0.123,0.121,0.113,NA,NA,4,6.796,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENR5856,5,1,2000,east,heteropogon_contortus,T,4,3,7,NA,0.021,0.00835,1.554,0.163,74,186.10778443113773,0.3976190476190476,4,0.084,0.205,0.124,0.16,NA,NA,4,6.216,4,4,4,4,0.0334,no,NA,NA,128
ETT6200,5,1,2000,west,heteropogon_contortus,T,3,3,5,NA,0.011225,0.0044,0.5845,0.09333333333333334,52.071269487750556,132.8409090909091,0.39198218262806234,4,0.0449,0.11,0.07,0.1,NA,NA,4,2.338,4,4,4,4,0.0176,no,NA,NA,88
FAP5923,5,1,2000,west,heteropogon_contortus,T,3,1,6,25,0.01558,0.0062,1.3832,0.07333333333333333,88.78048780487805,223.09677419354838,0.3979460847240051,5,0.0779,0.1,0.06,0.06,NA,NA,5,6.916,5,5,5,5,0.031,no,NA,NA,138
ERW1889,5,1,2000,east,heteropogon_contortus,T,2,2,8,NA,0.0218,0.008866666666666667,1.7783333333333333,0.121,81.57492354740062,200.5639097744361,0.40672782874617736,3,0.0654,0.112,0.11,0.141,NA,NA,3,5.335,3,3,3,3,0.0266,no,NA,NA,61
EVC1617,5,1,2000,west,heteropogon_contortus,T,4,1,5.5,NA,0.00864,NA,0.534,0.10866666666666666,61.80555555555556,NA,NA,5,0.0432,0.118,0.105,0.103,NA,NA,6,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEZ7049,5,1,2000,east,heteropogon_contortus,T,3,3,10,NA,0.02842,NA,2.2030000000000003,0.13133333333333333,77.51583391977482,NA,NA,5,0.1421,0.13,0.12,0.144,one leaf is in two parts,NA,5,11.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUD6207,5,1,2000,west,heteropogon_contortus,T,3,2,8,NA,0.009266666666666666,NA,0.5208333333333334,0.20766666666666667,56.205035971223026,NA,NA,6,0.0556,0.226,0.207,0.19,NA,NA,6,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFM4379,5,1,2000,east,heteropogon_contortus,T,1,2,9.5,NA,0.023133333333333336,NA,1.6893333333333331,0.17033333333333334,73.02593659942362,NA,NA,3,0.0694,0.115,0.187,0.209,NA,NA,3,5.068,NA,NA,NA,NA,NA,NA,NA,NA,NA
EKH5851,5,1,2000,east,heteropogon_contortus,T,3,1,10,NA,0.0371,NA,2.628,0.302,70.8355795148248,NA,NA,1,0.0371,0.278,0.283,0.345,NA,NA,1,2.628,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENV6286,5,1,2000,east,heteropogon_contortus,T,4,1,8.5,NA,0.018366666666666667,NA,NA,0.16066666666666665,NA,NA,NA,3,0.0551,0.144,0.178,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENW6587,5,1,2000,east,heteropogon_contortus,T,4,2,6.6,NA,0.028,NA,2.1915,0.21933333333333332,78.26785714285714,NA,NA,2,0.056,0.23,0.213,0.215,NA,NA,2,4.383,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIY4644,5,1,2000,east,heteropogon_contortus,T,1,3,9,NA,0.018266666666666667,NA,1.5486666666666666,0.20566666666666666,84.78102189781022,NA,NA,3,0.0548,0.196,0.188,0.233,NA,NA,3,4.646,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVS5019,5,1,2000,east,heteropogon_contortus,T,1,1,7,NA,0.0153,NA,1.0865,0.25666666666666665,71.01307189542484,NA,NA,2,0.0306,0.272,0.242,0.256,NA,NA,2,2.173,NA,NA,NA,NA,NA,NA,NA,NA,NA
EKX3874,6,2,2200,east,heteropogon_contortus,T,1,1,12.5,21,0.01616,0.00604,1.001,0.257,61.94306930693068,165.72847682119203,0.37376237623762376,5,0.0808,0.273,0.284,0.214,NA,NA,6,5.005,5,5,5,5,0.0302,no,NA,NA,622
DYO6986,6,2,2200,east,heteropogon_contortus,T,4,2,7,30,0.01886,0.00726,1.2742,0.21933333333333332,67.5609756097561,175.50964187327824,0.3849416755037116,5,0.0943,0.199,0.251,0.208,NA,NA,8,6.371,5,5,5,5,0.0363,no,NA,NA,894
DHD6397,6,2,2200,west,heteropogon_contortus,T,5,3,10.1,22,0.0468,0.0193,2.733,0.19366666666666668,58.3974358974359,141.6062176165803,0.4123931623931624,1,0.0468,0.201,0.193,0.187,NA,NA,1,2.733,1,1,1,1,0.0193,no,NA,NA,905
DHD6397,6,2,2200,west,heteropogon_contortus,T,5,3,10.1,22,0.0468,0.0193,2.733,0.19366666666666668,58.3974358974359,141.6062176165803,0.4123931623931624,1,0.0468,0.201,0.193,0.187,NA,NA,1,2.733,1,1,1,1,0.0193,no,NA,NA,905
EID8252,6,2,2200,west,heteropogon_contortus,T,3,1,9,NA,0.017400000000000002,0.0061,1.7966666666666666,0.113,103.2567049808429,294.53551912568304,0.3505747126436781,3,0.0522,0.123,0.106,0.11,NA,NA,3,5.39,3,3,3,3,0.0183,no,NA,NA,1501
EOK3275,6,2,2200,west,heteropogon_contortus,T,4,1,11,NA,0.020433333333333335,0.008133333333333334,1.534,0.253,75.07340946166394,188.60655737704917,0.3980424143556281,3,0.0613,0.243,0.261,0.255,NA,NA,3,4.602,3,3,3,3,0.0244,no,NA,NA,270
EQR1804,6,2,2200,west,heteropogon_contortus,T,5,2,10.7,23,0.01905,0.00695,1.22,0.19533333333333333,64.04199475065616,175.53956834532374,0.3648293963254593,4,0.0762,0.216,0.176,0.194,NA,NA,4,4.88,4,4,4,4,0.0278,no,NA,NA,236
HSI4571,6,2,2200,east,heteropogon_contortus,T,4,3,9,36,0.0147,0.00455,NA,0.17466666666666666,NA,NA,0.30952380952380953,2,0.0294,0.204,0.136,0.184,NA,NA,NA,NA,2,2,2,2,0.0091,no,NA,NA,247
DOM9129,5,1,2000,west,hypoxis_filiformis,T,4,1,12,8.4,0.0696,NA,1.7435,0.316,25.050287356321842,NA,NA,2,0.1392,0.326,0.322,0.3,NA,NA,2,3.487,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJU5318,5,1,2000,east,hypoxis_filiformis,T,4,3,17.6,14.5,0.0913,NA,2.563,0.432,28.072289156626507,NA,NA,1,0.0913,0.505,0.425,0.366,NA,NA,2,2.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOU1681,5,1,2000,east,hypoxis_filiformis,T,5,3,10,4.5,0.03238,NA,1.3382,0.28833333333333333,41.32798023471279,NA,NA,5,0.1619,0.286,0.282,0.297,NA,NA,5,6.691,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPV4604,5,1,2000,east,hypoxis_filiformis,T,1,1,10,14,0.0571,NA,2.191,0.2763333333333333,38.37127845884413,NA,NA,1,0.0571,0.27,0.29,0.269,NA,NA,1,2.191,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZR2165,5,1,2000,west,hypoxis_filiformis,T,3,3,6.1,8,0.0333,0.0097,1.141,0.4206666666666667,34.26426426426426,117.62886597938144,0.2912912912912913,1,0.0333,0.545,0.332,0.385,NA,NA,1,1.141,1,1,1,1,0.0097,no,NA,NA,89
ELV4202,5,1,2000,west,hypoxis_filiformis,T,5,2,12.5,NA,0.051300000000000005,NA,1.1976666666666667,0.31333333333333335,23.346328784925273,NA,NA,3,0.1539,0.315,0.319,0.306,NA,NA,3,3.593,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOQ1184,5,1,2000,east,hypoxis_filiformis,T,3,2,9.5,11,0.04476666666666667,NA,1.5896666666666668,0.5316666666666666,35.51005212211467,NA,NA,3,0.1343,0.5,0.569,0.526,NA,NA,3,4.769,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLS2583,5,1,2000,west,hypoxis_filiformis,T,3,1,9,14.9,0.062,NA,1.753,0.29,28.274193548387096,NA,NA,1,0.062,0.302,0.299,0.269,NA,NA,1,1.753,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIU4737,5,1,2000,east,hypoxis_filiformis,T,4,2,14,15.2,0.0839,NA,2.76,0.397,32.896305125148984,NA,NA,1,0.0839,0.366,0.437,0.388,NA,NA,2,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUB0155,3,1,2000,west,hypoxis_rigidula,T,2,1,8.1,12,0.2532,0.0762,5.95,0.491,23.49921011058452,78.08398950131233,0.30094786729857825,1,0.2532,0.508,0.502,0.463,NA,NA,1,5.95,1,1,1,1,0.0762,no,NA,NA,130
EZY4111,5,1,2000,west,hypoxis_rigidula,T,1,3,9,NA,0.1144,NA,3.23,0.422,28.234265734265733,NA,NA,1,0.1144,0.423,0.415,0.428,NA,NA,1,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
DKY6482,5,1,2000,west,hypoxis_rigidula,T,1,2,10,NA,0.1017,NA,3.361,0.3476666666666667,33.048180924287124,NA,NA,1,0.1017,0.341,0.351,0.351,NA,NA,2,3.361,NA,NA,NA,NA,NA,NA,NA,NA,NA
DKQ6258,5,1,2000,west,hypoxis_rigidula,T,1,1,8.5,9.5,0.1298,NA,3.555,0.484,27.38828967642527,NA,NA,1,0.1298,0.484,0.48,0.488,NA,NA,1,3.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZJ1350,5,1,2000,west,hypoxis_rigidula,T,4,1,8,9.6,0.13085,NA,3.8575,0.435,29.480320978219336,NA,NA,2,0.2617,0.476,0.413,0.416,NA,NA,2,7.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYE6053,6,2,2200,east,hypoxis_rigidula,T,3,3,15,NA,0.3565,0.1075,8.321,0.4886666666666667,23.340813464235623,77.4046511627907,0.3015427769985975,1,0.3565,0.467,0.496,0.503,NA,NA,2,8.321,1,1,1,1,0.1075,no,NA,NA,919
DVN1757,6,2,2200,east,hypoxis_rigidula,T,1,3,10.2,NA,0.0434,NA,1.673,0.4063333333333333,38.54838709677419,NA,NA,1,0.0434,0.408,0.371,0.44,NA,NA,1,1.673,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZQ6414,5,1,2000,west,kohautia_amatymbica,T,3,2,11.7,NA,0.00566,NA,0.14479999999999998,0.443,25.583038869257948,NA,NA,5,0.0283,0.421,0.484,0.424,NA,kohautia_amatymbica,5,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJC3183,5,1,2000,east,kohautia_amatymbica,T,4,3,14.6,NA,0.0024375,NA,0.09275,0.25,38.05128205128205,NA,NA,8,0.0195,0.229,0.226,0.295,NA,kohautia_amatymbica,8,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLU0897,5,1,2000,west,kohautia_amatymbica,T,4,1,22.2,NA,0.00306,NA,0.092,0.3516666666666667,30.065359477124186,NA,NA,5,0.0153,0.344,0.373,0.338,NA,kohautia_amatymbica,5,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMW7281,5,1,2000,east,kohautia_amatymbica,T,4,1,30,NA,0.0050799999999999994,NA,0.1292,0.437,25.433070866141737,NA,NA,5,0.0254,0.475,0.409,0.427,NA,kohautia_amatymbica,5,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJS0138,5,1,2000,east,kohautia_amatymbica,T,4,2,22.5,NA,0.007166666666666666,NA,0.19466666666666665,0.5519999999999999,27.16279069767442,NA,NA,6,0.043,0.568,0.58,0.508,NA,kohautia_amatymbica,6,1.168,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGO0256,6,2,2200,east,koeleria_capensis,T,2,1,13,22,0.0236,0.0098,0.9225,0.19999999999999998,39.08898305084746,94.13265306122449,0.4152542372881356,2,0.0472,0.211,0.217,0.172,NA,NA,2,1.845,2,2,2,2,0.0196,no,NA,NA,461
ERU6406,6,2,2200,west,koeleria_capensis,T,5,1,15,19.4,0.02152,0.00848,0.4946,0.468,22.983271375464682,58.325471698113205,0.3940520446096654,5,0.1076,0.486,0.462,0.456,NA,NA,5,2.473,5,5,5,5,0.0424,no,NA,NA,952
DKG3551,6,2,2200,west,koeleria_capensis,T,1,2,10,30.5,0.0312,0.01155,1.294,0.45666666666666667,41.47435897435898,112.03463203463204,0.3701923076923077,2,0.0624,0.5,0.442,0.428,NA,NA,3,2.588,2,2,2,2,0.0231,no,NA,NA,214
DPB8476,6,2,2200,west,koeleria_capensis,T,3,2,11,26.2,0.0076,0.00105,0.4155,0.44833333333333336,54.671052631578945,395.7142857142857,0.1381578947368421,2,0.0152,0.47,0.538,0.337,NA,NA,3,0.831,2,2,2,2,0.0021,no,NA,NA,245
ELB6373,6,2,2200,east,koeleria_capensis,T,4,1,13.5,22,0.0565,0.017666666666666667,1.5,0.47950000000000004,26.548672566371682,84.90566037735849,0.31268436578171094,3,0.1695,0.51,0.449,NA,NA,NA,3,4.5,3,3,3,3,0.053,no,NA,NA,281
FAZ5405,3,1,2000,west,microchloa_caffra,T,2,3,7,13.5,0.0142,NA,1.007,0.12666666666666668,70.91549295774647,NA,NA,1,0.0142,0.122,0.131,0.127,NA,NA,1,1.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXL5588,3,1,2000,west,microchloa_caffra,T,2,1,6.7,10.5,0.0091,NA,0.3345,0.196,36.75824175824176,NA,NA,2,0.0182,0.227,0.163,0.198,NA,NA,2,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXX3022,3,1,2000,west,microchloa_caffra,T,2,2,6.9,11.1,0.0091,NA,0.469,0.105,51.53846153846153,NA,NA,1,0.0091,0.103,0.114,0.098,NA,NA,2,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA
DKR2754,5,1,2000,west,microchloa_caffra,T,4,2,4.9,9,0.0073,NA,0.2996666666666667,0.174,41.050228310502284,NA,NA,3,0.0219,0.175,0.171,0.176,NA,NA,3,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAJ7142,5,1,2000,west,microchloa_caffra,T,1,2,3.5,10,0.0065125,NA,0.295875,0.237,45.43186180422265,NA,NA,8,0.0521,0.215,0.316,0.18,NA,NA,8,2.367,NA,NA,NA,NA,NA,NA,NA,NA,NA
DKV2148,5,1,2000,west,microchloa_caffra,T,4,1,6.4,16.9,0.00811111111111111,0.003577777777777778,0.41055555555555556,0.16866666666666666,50.61643835616439,114.75155279503106,0.4410958904109589,9,0.073,0.158,0.175,0.173,NA,NA,9,3.695,9,9,9,9,0.0322,no,NA,DNR5781,1
FAL5391,5,1,2000,west,microchloa_caffra,T,3,3,11.5,10.1,0.0245,0.0092,0.56,0.4013333333333333,22.857142857142858,60.86956521739131,0.37551020408163266,1,0.0245,0.42,0.361,0.423,NA,NA,1,0.56,1,1,1,1,0.0092,no,NA,NA,81
EZL8158,5,1,2000,west,microchloa_caffra,T,1,3,8,12,0.009080000000000001,0.00456,0.41859999999999997,0.15966666666666668,46.10132158590307,91.79824561403508,0.5022026431718061,5,0.0454,0.154,0.159,0.166,NA,NA,6,2.093,5,5,5,5,0.0228,no,NA,NA,74
ETP6295,5,1,2000,west,microchloa_caffra,T,5,2,6.9,19,0.010628571428571428,NA,0.36414285714285716,0.33666666666666667,34.26075268817205,NA,NA,7,0.0744,0.351,0.367,0.292,NA,NA,8,2.549,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUL1646,5,1,2000,west,microchloa_caffra,T,3,2,5.4,13,0.0097,NA,0.3185,0.33,32.83505154639175,NA,NA,2,0.0194,0.351,0.317,0.322,NA,NA,2,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENI4902,5,1,2000,west,microchloa_caffra,T,4,3,11,16.6,0.013733333333333334,0.00555,0.2846666666666667,0.404,20.728155339805827,51.291291291291294,0.404126213592233,6,0.0824,0.347,0.465,0.4,NA,NA,6,1.708,6,6,6,6,0.0333,no,NA,NA,113
DLA3795,5,1,2000,west,microchloa_caffra,T,4,3,3,12.9,0.0056,0.002466666666666667,0.16933333333333334,0.30833333333333335,30.238095238095237,68.64864864864865,0.4404761904761905,3,0.0168,0.326,0.285,0.314,NA,NA,3,0.508,3,3,3,3,0.0074,no,NA,NA,85
DLK2458,5,1,2000,west,microchloa_caffra,T,1,1,5,17.5,0.00906,NA,0.2882,0.34933333333333333,31.810154525386313,NA,NA,5,0.0453,0.403,0.348,0.297,NA,NA,5,1.441,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZT6652,5,1,2000,east,microchloa_caffra,T,3,1,9,12,0.012466666666666668,NA,0.4486666666666667,0.29233333333333333,35.98930481283423,NA,NA,3,0.0374,0.313,0.342,0.222,NA,NA,3,1.346,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVJ2610,6,2,2200,east,monsonia_attenuata,T,1,2,6.1,NA,0.007125,0.0038,0.95325,0.4746666666666667,133.78947368421052,250.85526315789474,0.5333333333333333,4,0.0285,0.493,0.474,0.457,NA,NA,5,3.813,4,4,4,4,0.0152,no,NA,NA,921
DGR3781,6,2,2200,east,monsonia_attenuata,T,1,1,7.1,NA,0.020966666666666665,0.0031999999999999997,0.9470000000000001,0.32833333333333337,45.16693163751988,295.93750000000006,0.15262321144674085,3,0.0629,0.374,0.341,0.27,NA,NA,3,2.841,3,3,3,3,0.0096,no,NA,NA,1187
EWR6758,5,1,2000,west,moraea_stricta,T,5,3,14,NA,0.0685,NA,1.454,0.581,21.22627737226277,NA,NA,1,0.0685,0.602,0.595,0.546,NA,NA,1,1.454,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETH5445,5,1,2000,west,moraea_stricta,T,5,2,14.5,NA,0.0846,NA,1.797,0.6923333333333332,21.24113475177305,NA,NA,1,0.0846,0.692,0.695,0.69,NA,NA,1,1.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
DML3204,5,1,2000,west,moraea_stricta,T,4,1,22,NA,0.1269,NA,2.725,0.8186666666666667,21.473601260835302,NA,NA,1,0.1269,0.86,0.853,0.743,NA,NA,1,2.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYC0298,6,2,2200,east,oxalis_depressa,T,1,1,1,NA,0.009766666666666667,0.0013,0.4163333333333334,0.2823333333333333,42.627986348122874,320.25641025641033,0.13310580204778155,3,0.0293,0.284,0.272,0.291,1 leaf is in 3 parts,NA,5,1.249,3,3,3,3,0.0039,no,NA,NA,613
DRW9068,6,2,2200,west,oxalis_depressa,T,2,2,0.7,NA,0.00465,0.0031,0.146,0.15466666666666667,31.397849462365592,47.096774193548384,0.6666666666666667,2,0.0093,0.09,0.131,0.243,NA,NA,3,0.292,2,2,2,2,0.0062,no,NA,NA,1146
EEH4667,6,2,2200,west,pentameris_airoides,T,2,2,11,17,0.0537,0.01655,2.0525,0.301,38.22160148975792,124.01812688821755,0.30819366852886404,2,0.1074,0.351,0.27,0.282,NA,NA,2,4.105,2,2,2,2,0.0331,no,NA,NA,1157
FAR1310,3,1,2000,west,rendlia_altera,T,2,1,10.5,16,0.0224,NA,0.697,0.459,31.116071428571427,NA,NA,1,0.0224,0.437,0.462,0.478,NA,NA,1,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA
