id,day_not_date,site_id,elevation_m_asl,aspect,species,project,plot_id,plant_id,veg_height_cm,rep_height_cm,wet_mass_g,dry_mass_g,leaf_area_cm2,leaf_thickness_mm,wet_sla_cm2_g,sla_cm2_g,ldmc,bulk_nr,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,new_species,n,leaf_area_total_cm2,wet_bulk_nr,wet_nr_pieces,dry_bulk_nr,dry_nr_pieces,dry_mass_total_g,check_scan,remarks,orchids,nr
EZG4921,3,1,2000,west,helichrysum_chionosphaerum,T,2,1,6.9,14.1,0.0349,NA,0.84,0.18133333333333335,24.068767908309454,NA,NA,1,0.0349,0.106,0.217,0.221,NA,NA,1,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIQ0252,5,1,2000,west,helichrysum_chionosphaerum,T,3,1,5.3,NA,0.0512,NA,1.752,0.30666666666666664,34.21875,NA,NA,1,0.0512,0.361,0.313,0.246,NA,NA,1,1.752,NA,NA,NA,NA,NA,NA,NA,NA,NA
HGE2919,5,2,2200,east,helichrysum_ecklonis,TS,0,0,3.9,NA,0.3841,NA,5.963,0.8733333333333333,15.52460296797709,NA,NA,1,0.3841,0.884,0.883,0.853,NA,NA,2,5.963,NA,NA,NA,NA,NA,NA,NA,NA,NA
HDQ5868,5,2,2200,west,helichrysum_ecklonis,TS,0,0,3.2,NA,0.1898,0.0276,5.252,0.5943333333333334,27.671232876712327,190.28985507246375,0.14541622760800843,1,0.1898,0.676,0.569,0.538,NA,NA,2,5.252,1,1,1,1,0.0276,no,NA,NA,124
ECT6599,5,1,2000,west,helichrysum_ecklonis,TS,0,0,5.5,NA,0.3238,NA,5.692,0.873,17.578752316244596,NA,NA,1,0.3238,0.868,0.883,0.868,NA,NA,1,5.692,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXI3556,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4,NA,0.3706,NA,5.164,1.0773333333333333,13.93416082029142,NA,NA,1,0.3706,1.091,1.053,1.088,NA,NA,1,5.164,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESH3826,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3.9,NA,0.7967,0.0877,10.111,1.1476666666666666,12.691100790761894,115.29076396807298,0.11007907618928078,1,0.7967,1.177,1.086,1.18,NA,NA,4,10.111,1,1,1,1,0.0877,no,NA,NA,154
EZE4150,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3.8,NA,0.5851,0.0675,6.583,1.0763333333333334,11.251068193471204,97.52592592592592,0.11536489488976245,1,0.5851,1.185,1.028,1.016,NA,NA,3,6.583,1,1,1,1,0.0675,no,NA,NA,109
ESL3189,5,1,2000,west,helichrysum_ecklonis,TS,0,0,5,NA,0.5965,NA,9.474,0.8483333333333333,15.882648784576697,NA,NA,1,0.5965,0.888,0.842,0.815,NA,NA,1,9.474,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECN5957,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3.5,NA,0.3662,NA,5.955,0.8746666666666667,16.261605679956308,NA,NA,1,0.3662,0.907,0.862,0.855,NA,NA,1,5.955,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERZ6683,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3.5,NA,0.3079,NA,4.842,0.8113333333333334,15.725885027606363,NA,NA,1,0.3079,0.806,0.794,0.834,NA,NA,1,4.842,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECL4530,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4,NA,0.4868,NA,6.921,1.097,14.217337715694331,NA,NA,1,0.4868,1.107,1.1,1.084,NA,NA,1,6.921,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESD0911,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4.2,NA,0.5709,NA,8.138,1.1196666666666668,14.254685584165355,NA,NA,1,0.5709,1.124,1.098,1.137,NA,NA,2,8.138,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDB7866,5,1,2000,west,helichrysum_ecklonis,TS,0,0,2.5,NA,0.3081,NA,4.426,1.141,14.365465757870822,NA,NA,1,0.3081,1.111,1.209,1.103,NA,NA,1,4.426,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVY4062,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4.1,NA,0.5822,NA,8.826,0.8893333333333333,15.159738921332876,NA,NA,1,0.5822,0.912,0.842,0.914,NA,NA,3,8.826,NA,NA,NA,NA,NA,NA,NA,NA,NA
HFW2316,5,2,2200,east,helichrysum_ecklonis,TS,0,0,4.2,NA,0.5472,NA,6.298,0.8706666666666667,11.509502923976608,NA,NA,1,0.5472,0.919,0.859,0.834,NA,NA,2,6.298,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZF7583,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4,NA,0.5827,0.06,7.077,1.0313333333333332,12.145186202162348,117.95,0.10296893770379269,1,0.5827,1.077,0.976,1.041,NA,NA,1,7.077,1,1,1,1,0.06,no,NA,NA,166
HDY6133,5,2,2200,west,helichrysum_ecklonis,TS,0,0,4,NA,0.206,0.0274,4.595,0.638,22.305825242718445,167.70072992700727,0.13300970873786408,1,0.206,0.752,0.587,0.575,NA,NA,1,4.595,1,1,1,1,0.0274,no,NA,NA,155
HGA6695,5,2,2200,east,helichrysum_ecklonis,TS,0,0,2.9,NA,0.4196,NA,5.99,0.9933333333333333,14.275500476644424,NA,NA,1,0.4196,1.016,1.003,0.961,NA,NA,1,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
HDJ5589,5,2,2200,west,helichrysum_ecklonis,TS,0,0,1.6,NA,0.2282,0.0372,4.725,0.8073333333333333,20.705521472392636,127.01612903225806,0.16301489921121823,1,0.2282,0.903,0.771,0.748,NA,NA,1,4.725,1,1,1,1,0.0372,no,NA,NA,17
EXJ0468,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3.1,NA,0.2779,NA,4.4,0.905,15.833033465275282,NA,NA,1,0.2779,0.9,0.903,0.912,NA,NA,2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXF0374,5,1,2000,east,helichrysum_ecklonis,TS,0,0,3.1,NA,0.4091,NA,7.12,0.8066666666666666,17.40405768760694,NA,NA,1,0.4091,0.878,0.786,0.756,NA,NA,2,7.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECR4954,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3,NA,0.2785,NA,4.529,0.7776666666666667,16.262118491921004,NA,NA,1,0.2785,0.765,0.762,0.806,NA,NA,1,4.529,NA,NA,NA,NA,NA,NA,NA,NA,NA
HDU5841,5,2,2200,west,helichrysum_ecklonis,TS,0,0,3.6,NA,0.3424,NA,7.015,0.6563333333333333,20.487733644859812,NA,NA,1,0.3424,0.671,0.652,0.646,NA,NA,1,7.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECU3104,5,1,2000,west,helichrysum_ecklonis,TS,0,0,3,NA,0.317,0.0452,5.259,0.941,16.589905362776026,116.3495575221239,0.14258675078864352,1,0.317,0.852,0.97,1.001,NA,NA,1,5.259,1,1,1,1,0.0452,no,NA,NA,133
EWC2209,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4.5,NA,0.2716,NA,3.993,0.93,14.701767304860088,NA,NA,1,0.2716,0.931,0.882,0.977,NA,NA,2,3.993,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVR8718,5,1,2000,west,helichrysum_ecklonis,TS,0,0,4.6,NA,0.3788,NA,5.897,1.0393333333333332,15.567581837381203,NA,NA,1,0.3788,1.123,0.988,1.007,NA,NA,1,5.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEH9489,5,2,2200,west,helichrysum_ecklonis,TS,0,0,1.9,NA,0.2263,0.0367,4.92,0.845,21.741051701281485,134.05994550408718,0.16217410517012817,1,0.2263,0.869,0.847,0.819,NA,NA,2,4.92,1,1,1,1,0.0367,no,NA,NA,160
