"","id","day_not_date","site_id","elevation_m_asl","aspect","species","project","plot_id","plant_id","veg_height_cm","rep_height_cm","wet_mass_g","dry_mass_g","leaf_area_cm2","leaf_thickness_mm","wet_sla_cm2_g","sla_cm2_g","ldmc","bulk_nr","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","remark","new_species","n","leaf_area_total_cm2","wet_bulk_nr","wet_nr_pieces","dry_bulk_nr","dry_nr_pieces","dry_mass_total_g","check_scan","remarks","orchids","nr"
"21","ETZ9040",3,1,2000,"west","bulbostylis_oritrephes","T",2,2,10.4,8.1,0.025575,NA,0.46875,0.462666666666667,18.3284457478006,NA,NA,4,0.1023,0.504,0.428,0.456,NA,"bulbostylis_oritrephes",4,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","EXY5824",3,1,2000,"west","bulbostylis_oritrephes","T",2,3,12.6,8.4,0.0216666666666667,0.0079,0.726,0.448333333333333,33.5076923076923,91.8987341772152,0.364615384615385,3,0.065,0.501,0.434,0.41,NA,"bulbostylis_oritrephes",3,2.178,3,3,3,3,0.0237,"no",NA,NA,56
"23","EYA1798",3,1,2000,"west","bulbostylis_oritrephes","T",2,1,9.9,10.2,0.0181666666666667,NA,0.427333333333333,0.349333333333333,23.5229357798165,NA,NA,3,0.0545,0.36,0.327,0.361,NA,"bulbostylis_oritrephes",3,1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","EAF7860",5,1,2000,"west","bulbostylis_oritrephes","T",5,3,8.8,9,0.01656,0.00574,0.6136,0.364,37.0531400966184,106.898954703833,0.346618357487923,5,0.0828,0.34,0.388,0.364,NA,"bulbostylis_oritrephes",5,3.068,5,5,5,5,0.0287,"no",NA,NA,139
"25","EVE1053",5,1,2000,"west","bulbostylis_oritrephes","T",4,2,6,NA,0.0097,NA,0.333,0.331,34.3298969072165,NA,NA,4,0.0388,0.304,0.342,0.347,NA,"bulbostylis_oritrephes",4,1.332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","EAY7756",5,1,2000,"east","bulbostylis_oritrephes","T",2,3,17,3,0.0306222222222222,0.0125555555555556,0.906333333333333,0.42,29.5972423802612,72.1858407079646,0.410014513788099,9,0.2756,0.42,0.416,0.424,NA,"bulbostylis_oritrephes",9,8.157,9,9,9,9,0.113,"no",NA,NA,161
"27","EZN2533",5,1,2000,"west","bulbostylis_oritrephes","T",3,2,13.5,14.1,0.0019,NA,0.14,0.250666666666667,73.6842105263158,NA,NA,1,0.0019,0.266,0.227,0.259,NA,"bulbostylis_oritrephes",1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","FAF7292",5,1,2000,"west","bulbostylis_oritrephes","T",3,1,10.9,11.5,0.0025,NA,0.091,0.284,36.4,NA,NA,1,0.0025,0.217,0.229,0.406,NA,"bulbostylis_oritrephes",1,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","FAT7789",5,1,2000,"west","bulbostylis_oritrephes","T",1,1,14,13.5,0.0179142857142857,NA,0.469142857142857,0.366666666666667,26.1881977671451,NA,NA,7,0.1254,0.44,0.3,0.36,NA,"bulbostylis_oritrephes",8,3.284,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","DLR6525",5,1,2000,"west","bulbostylis_oritrephes","T",4,3,13,13.5,0.0194428571428571,NA,0.660571428571428,0.411333333333333,33.9750183688464,NA,NA,7,0.1361,0.435,0.402,0.397,NA,"bulbostylis_oritrephes",7,4.624,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","EVG0603",5,1,2000,"west","bulbostylis_oritrephes","T",4,1,10.6,11,0.01554,NA,0.3516,0.436,22.6254826254826,NA,NA,5,0.0777,0.404,0.496,0.408,NA,"bulbostylis_oritrephes",5,1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ELW2931",5,1,2000,"west","bulbostylis_oritrephes","T",5,2,11.8,12,0.0243428571428571,NA,0.427857142857143,0.456666666666667,17.5762910798122,NA,NA,7,0.1704,0.491,0.45,0.429,NA,"bulbostylis_oritrephes",7,2.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","EAU5214",5,1,2000,"east","bulbostylis_oritrephes","T",3,1,16.5,17,0.01485,NA,0.46375,0.362,31.2289562289562,NA,NA,4,0.0594,0.371,0.381,0.334,NA,"bulbostylis_oritrephes",4,1.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","EJO5262",5,1,2000,"east","bulbostylis_oritrephes","T",4,3,12,12,0.02685,NA,0.530333333333333,0.452333333333333,19.7517070142768,NA,NA,6,0.1611,0.439,0.421,0.497,NA,"bulbostylis_oritrephes",6,3.182,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","EAT0419",5,1,2000,"east","bulbostylis_oritrephes","T",3,2,9.5,NA,0.0224714285714286,NA,0.497428571428571,0.462,22.1360457724094,NA,NA,7,0.1573,0.471,0.491,0.424,NA,"bulbostylis_oritrephes",7,3.482,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","EOV2668",5,1,2000,"east","bulbostylis_oritrephes","T",4,1,15.1,16.1,0.0334,NA,0.784333333333333,0.503333333333333,23.4830339321357,NA,NA,3,0.1002,0.501,0.49,0.519,NA,"bulbostylis_oritrephes",3,2.353,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","DZK0318",6,2,2200,"west","c_f_hesperantha_baurii","T",1,2,14,NA,0.3492,0.0793,6.408,0.583666666666667,18.3505154639175,80.8070617906684,0.22709049255441,1,0.3492,0.604,0.602,0.545,NA,"c_f_hesperantha_baurii",1,6.408,1,1,1,1,0.0793,"no",NA,NA,1193
"38","EDZ2888",6,2,2200,"east","c_f_hesperantha_baurii","T",3,1,13,NA,0.448,0.0913,6.262,0.441666666666667,13.9776785714286,68.5870755750274,0.203794642857143,1,0.448,0.392,0.458,0.475,NA,"c_f_hesperantha_baurii",2,6.262,1,1,1,1,0.0913,"no",NA,NA,1102
"39","EDE8353",6,2,2200,"west","c_f_hesperantha_baurii","T",5,1,9,NA,0.1697,0.0396,3.716,0.501333333333333,21.8974661166765,93.8383838383838,0.233352975839717,1,0.1697,0.526,0.514,0.464,NA,"c_f_hesperantha_baurii",1,3.716,1,1,1,1,0.0396,"no",NA,NA,239
"40","FAB3024",5,1,2000,"west","carex_zuluensis","T",3,2,9.9,NA,0.0426,0.0166,2.168,0.241333333333333,50.8920187793427,130.602409638554,0.389671361502347,1,0.0426,0.25,0.222,0.252,NA,NA,1,2.168,1,1,1,1,0.0166,"no",NA,NA,73
"41","DLQ5889",5,1,2000,"west","carex_zuluensis","T",3,1,12,10.4,0.0536,NA,2.334,0.237,43.544776119403,NA,NA,1,0.0536,0.222,0.252,0.237,NA,NA,1,2.334,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","DQX4318",6,2,2200,"east","carex_zuluensis","T",1,2,4,18.4,0.0194333333333333,NA,1.17433333333333,0.267,60.4288164665523,NA,NA,3,0.0583,0.293,0.282,0.226,NA,NA,6,3.523,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","HSN9812",6,2,2200,"east","commelina_africana","T",4,2,2.4,NA,0.0524,0.0077,1.304,0.408666666666667,24.8854961832061,169.350649350649,0.146946564885496,1,0.0524,0.461,0.36,0.405,NA,NA,1,1.304,1,1,1,1,0.0077,"no",NA,NA,1083
"44","HRM5061",6,2,2200,"east","commelina_africana","T",3,1,3,NA,0.1127,0.0174,2.515,0.591333333333333,22.3158828748891,144.540229885057,0.154392191659272,1,0.1127,0.605,0.653,0.516,NA,NA,2,2.515,1,1,1,1,0.0174,"no",NA,NA,1195
"45","EAX7228",5,1,2000,"west","crassula_vaginata","T",1,1,5.5,NA,0.0992,NA,2.058,0.723333333333333,20.7459677419355,NA,NA,1,0.0992,0.761,0.771,0.638,NA,NA,1,2.058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","EUI8572",5,1,2000,"west","crassula_vaginata","T",4,1,6,NA,0.0217,NA,0.409,0.449333333333333,18.8479262672811,NA,NA,3,0.0651,0.574,0.441,0.333,NA,NA,3,1.227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","EXQ0995",3,1,2000,"west","craterocapsa_tarsodes","T",2,2,1.4,NA,0.0053,NA,0.1921,0.298666666666667,36.2452830188679,NA,NA,10,0.053,0.289,0.298,0.309,NA,NA,10,1.921,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","EYN0715",3,1,2000,"west","craterocapsa_tarsodes","T",2,1,1.6,NA,0.00811,0.00151,0.2577,0.208333333333333,31.7755856966708,170.662251655629,0.186189889025894,10,0.0811,0.191,0.207,0.227,NA,NA,9,2.577,10,10,10,10,0.0151,"no",NA,NA,16
