"","id","day_not_date","site_id","elevation_m_asl","aspect","species","project","plot_id","plant_id","veg_height_cm","rep_height_cm","wet_mass_g","dry_mass_g","leaf_area_cm2","leaf_thickness_mm","wet_sla_cm2_g","sla_cm2_g","ldmc","bulk_nr","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","remark","new_species","n","leaf_area_total_cm2","wet_bulk_nr","wet_nr_pieces","dry_bulk_nr","dry_nr_pieces","dry_mass_total_g","check_scan","remarks","orchids","nr"
"878","EWK6881",5,1,2000,"west","helichrysum_ecklonis","TS",0,0,5,NA,0.5692,NA,8.538,0.765666666666667,15,NA,NA,1,0.5692,0.85,0.746,0.701,NA,NA,1,8.538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","EMY0932",5,1,2000,"east","eragrostis_racemosa",NA,1,1,5,9,0.0132,NA,0.792666666666667,0.198666666666667,60.0505050505051,NA,NA,3,0.0396,0.169,0.266,0.161,"no project ID probably T",NA,3,2.378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880","DMK2984",5,2,2200,"west","helichrysum_ecklonis","TS",0,0,1.8,NA,0.3345,NA,6.124,0.951,18.3079222720478,NA,NA,1,0.3345,0.991,1.044,0.818,NA,NA,1,6.124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881","HEZ3068",5,2,2200,"west","helichrysum_pilosellum","TS",0,0,9.5,NA,0.972,NA,18.066,0.782333333333333,18.5864197530864,NA,NA,1,0.972,0.881,0.761,0.705,NA,NA,1,18.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","ECG3019",5,1,2000,"east","helichrysum_pilosellum","TS",5,1,7.5,NA,0.568,NA,10.405,0.958666666666667,18.318661971831,NA,NA,1,0.568,0.952,0.981,0.943,NA,NA,3,10.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","HEB0930",5,2,2200,"east","helichrysum_pallidum","TS",0,0,18.5,NA,1.6261,NA,29.85,0.516333333333333,18.3568046245618,NA,NA,1,1.6261,0.507,0.51,0.532,NA,NA,1,29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","HDS2102",5,2,2200,"east","helichrysum_pilosellum","TS",0,0,9.5,NA,1.493,NA,20.449,1.15866666666667,13.6965840589417,NA,NA,1,1.493,1.128,1.172,1.176,NA,NA,3,20.449,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","HEJ3199",5,2,2200,"east","helichrysum_pilosellum",NA,0,0,8.5,NA,0.7106,NA,13.364,0.554666666666667,18.8066422741345,NA,NA,1,0.7106,0.572,0.574,0.518,"no project ID probably S",NA,2,13.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","ECM8861",5,1,2000,"west","helichrysum_pilosellum","TS",1,1,7,NA,0.3658,NA,7.94,0.853,21.7058501913614,NA,NA,1,0.3658,0.845,0.877,0.837,NA,NA,1,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","HEK6391",5,2,2200,"west","helichrysum_pilosellum","TS",0,0,6,NA,0.5144,NA,9.869,0.525333333333333,19.1854587869362,NA,NA,1,0.5144,0.531,0.533,0.512,"veg height is 60 on card",NA,2,9.869,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888","ECQ7310",5,1,2000,"west","helichrysum_pilosellum","TS",1,3,3,NA,0.1391,NA,3.204,0.767,23.0337886412653,NA,NA,1,0.1391,0.684,0.764,0.853,NA,NA,1,3.204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","FAA5934",5,1,2000,"west","helichrysum_pilosellum","TS",0,0,5.3,NA,0.4945,0.1317,9.416,0.721333333333333,19.041456016178,71.4958238420653,0.266329625884732,1,0.4945,0.789,0.669,0.706,NA,NA,1,9.416,1,1,1,1,0.1317,"no",NA,"DDR4508",3
"890","ESO1416",5,1,2000,"west","helichrysum_ecklonis","TS",0,0,4.7,NA,0.426,0.0452,7.221,0.989666666666667,16.9507042253521,159.756637168142,0.106103286384977,1,0.426,0.919,0.966,1.084,NA,NA,1,7.221,1,1,1,1,0.0452,"no",NA,"DFG6490",2
"891","EYY3858",5,1,2000,"east","helichrysum_pilosellum","TS",0,0,7,NA,0.4006,0.0987,8.659,0.960333333333333,21.6150773839241,87.7304964539007,0.246380429355966,1,0.4006,0.942,0.941,0.998,NA,NA,2,8.659,1,1,1,1,0.0987,"no",NA,"DNU7647",5
"892","ESX6363",5,1,2000,"west","helichrysum_pilosellum","TS",0,0,9,NA,0.7453,NA,16.844,0.799333333333333,22.6002951831477,NA,NA,1,0.7453,0.745,0.875,0.778,NA,NA,1,16.844,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","EMV4782",5,1,2000,"east","aristea_woodii","T",4,2,10.5,19,0.0585,NA,1.979,0.665666666666667,33.8290598290598,NA,NA,1,0.0585,1.046,0.5,0.451,NA,"aristea_woodii",1,1.979,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","EMH5024",5,1,2000,"east","themeda_triandra","T",1,1,8.5,NA,0.0242,NA,1.966,0.171333333333333,81.2396694214876,NA,NA,2,0.0484,0.189,0.18,0.145,NA,NA,2,3.932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","EPY1493",5,1,2000,"east","helichrysum_nudifolium","T",1,3,10,NA,0.9573,NA,23.09,0.477333333333333,24.1199206100491,NA,NA,1,0.9573,0.513,0.48,0.439,NA,NA,1,23.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","EMI3784",5,1,2000,"east","themeda_triandra","T",4,2,6,NA,0.02184,NA,1.5856,0.129333333333333,72.6007326007326,NA,NA,5,0.1092,0.129,0.117,0.142,NA,NA,6,7.928,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","ELT0196",5,1,2000,"east","eragrostis_capensis","T",1,3,3,NA,0.00986666666666667,0.00333333333333333,0.653333333333333,0.225333333333333,66.2162162162162,196,0.337837837837838,3,0.0296,0.317,0.172,0.187,NA,NA,3,1.96,3,3,3,3,0.01,"no",NA,"IIU9912",11
"898","EOE6289",5,1,2000,"east","rendlia_altera","T",4,3,9,23,0.01819,0.00721,0.3654,0.484333333333333,20.087960417812,50.6796116504854,0.396371632765256,10,0.1819,0.574,0.494,0.385,NA,NA,10,3.654,10,10,10,10,0.0721,"no",NA,NA,18
"899","EON7315",5,1,2000,"east","cyperus_semitrifidus","T",4,2,5.6,8.3,0.0171,0.0042,0.521,0.427,30.4678362573099,124.047619047619,0.245614035087719,1,0.0171,0.348,0.374,0.559,"Label says ""semitrifolus""",NA,1,0.521,1,1,1,1,0.0042,"no",NA,NA,24
"900","EJM5901",5,1,2000,"east","ficinia_cinnamomea","T",4,2,6,24.5,0.007,0.0029,0.403,0.337333333333333,57.5714285714286,138.965517241379,0.414285714285714,1,0.007,0.325,0.32,0.367,NA,NA,1,0.403,1,1,1,1,0.0029,"no",NA,NA,23
"901","ENQ5003",5,1,2000,"east","aristea_woodii","T",4,3,5.5,6.9,0.0367,0.0123,1.229,0.409,33.4877384196185,99.9186991869919,0.335149863760218,1,0.0367,0.436,0.464,0.327,NA,"aristea_woodii",1,1.229,1,1,1,1,0.0123,"no",NA,NA,25
"902","EJZ7465",5,1,2000,"east","cyperus_sphaerocephalus","T",4,1,5.6,17.8,0.0263,0.0082,0.9345,0.342333333333333,35.532319391635,113.963414634146,0.311787072243346,2,0.0526,0.359,0.33,0.338,NA,NA,2,1.869,2,2,2,2,0.0164,"no",NA,NA,26
"903","EPW8532",5,1,2000,"east","aristea_woodii","T",3,1,6.8,NA,0.0464,0.0162,1.519,0.390666666666667,32.7370689655172,93.7654320987654,0.349137931034483,1,0.0464,0.301,0.361,0.51,NA,"aristea_woodii",1,1.519,1,1,1,1,0.0162,"no",NA,NA,27
"904","ELN4060",5,1,2000,"east","cyperus_sphaerocephalus","T",1,2,8.1,14.5,0.0158,0.0052,0.48,0.351,30.379746835443,92.3076923076923,0.329113924050633,3,0.0474,0.38,0.363,0.31,NA,NA,3,1.44,3,3,3,3,0.0156,"no",NA,NA,28
"905","ENH7149",5,1,2000,"east","hypoxis_filiformis","T",4,1,14,7.5,0.0558,0.0187,1.709,0.35,30.6272401433692,91.3903743315508,0.335125448028674,1,0.0558,0.348,0.345,0.357,NA,NA,1,1.709,1,1,1,1,0.0187,"no",NA,NA,29
"906","EJY1770",5,1,2000,"east","cyperus_sphaerocephalus","T",4,3,3,NA,0.11575,0.003175,0.30275,0.454333333333333,2.61555075593953,95.3543307086614,0.0274298056155508,4,0.463,0.408,0.448,0.507,NA,NA,5,1.211,4,4,4,4,0.0127,"no",NA,"GFW2683",12
"907","EZA7508",5,1,2000,"east","helichrysum_pilosellum","TS",0,0,7,NA,0.5727,0.1108,10.181,0.866666666666667,17.7771957394797,91.8862815884476,0.193469530295093,1,0.5727,0.927,0.844,0.829,NA,NA,2,10.181,1,1,1,1,0.1108,"no",NA,"GII3041",10
"908","HDR1638",5,2,2200,"west","helichrysum_ecklonis","TS",0,0,1.8,NA,0.1389,NA,2.909,0.559333333333333,20.943124550036,NA,NA,1,0.1389,0.511,0.585,0.582,NA,NA,4,2.909,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909","EJD7466",5,1,2000,"east","ficinia_cinnamomea","T",4,1,6.5,30,0.01622,NA,0.3986,0.422666666666667,24.5745992601726,NA,NA,5,0.0811,0.364,0.389,0.515,NA,NA,6,1.993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","EWH6385",5,1,2000,"east","helichrysum_pilosellum","TS",0,0,4.3,NA,0.5382,NA,9.662,0.680333333333333,17.9524340393906,NA,NA,1,0.5382,0.653,0.581,0.807,"tear",NA,6,9.662,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","EWX2199",5,1,2000,"east","helichrysum_pilosellum","TS",0,0,10.5,NA,2.397,0.4266,41.359,0.845666666666667,17.2544847726325,96.9503047351149,0.177972465581977,1,2.397,0.815,0.695,1.027,"exceptionally heavy for its size",NA,2,41.359,1,1,1,1,0.4266,"no",NA,NA,145
"912","ERP3909",5,1,2000,"west","helichrysum_ecklonis","TS",0,0,2.5,NA,0.4234,0.0488,6.14,1.137,14.5016532829476,125.819672131148,0.115257439773264,1,0.4234,1.085,1.166,1.16,"tear",NA,1,6.14,1,1,1,1,0.0488,"no",NA,NA,146
"913","EWW6208",5,1,2000,"west","helichrysum_ecklonis","TS",0,0,4.5,NA,0.5069,NA,7.155,0.985333333333333,14.1152101006116,NA,NA,1,0.5069,0.972,1.016,0.968,NA,NA,3,7.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","EYW6250",5,1,2000,"east","helichrysum_pilosellum","TS",0,0,11.1,NA,0.8015,NA,13.213,0.957666666666667,16.4853399875234,NA,NA,1,0.8015,0.992,0.957,0.924,NA,NA,5,13.213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","DMC6291",5,1,2000,"west","helichrysum_pilosellum","TS",0,0,7.2,NA,0.4881,NA,10.564,0.580666666666667,21.6431059209178,NA,NA,1,0.4881,0.506,0.62,0.616,NA,NA,1,10.564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","DFB8356",8,4,2600,"east","erica_woodii","T",4,3,24,25,0.001425,0.00065,0.035,0.370666666666667,24.5614035087719,53.8461538461538,0.456140350877193,20,0.0285,0.379,0.259,0.474,NA,NA,18,0.7,20,20,20,20,0.013,"no",NA,NA,284
"917","DTH7474",6,2,2200,"east","acalypha_punctata","TS",1,1,23,23,0.6611,NA,17.089,0.645666666666667,25.849342005748,NA,NA,1,0.6611,0.681,0.616,0.64,NA,NA,1,17.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","CYY9297",6,2,2200,"east","acalypha_punctata","TS",2,3,24,23,0.313,NA,11.258,0.475,35.9680511182109,NA,NA,1,0.313,0.499,0.438,0.488,NA,NA,1,11.258,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","HQQ6687",7,4,2600,"west","helichrysum_ecklonis","TS",0,NA,4.8,NA,0.5241,NA,8.104,0.927333333333333,15.4626979584049,NA,NA,1,0.5241,0.913,0.965,0.904,NA,NA,2,8.104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920","HBH6091",6,3,2400,"west","helichrysum_pilosellum","TS",0,NA,4.5,NA,0.4861,NA,10.537,1.06833333333333,21.67660975108,NA,NA,1,0.4861,1.204,0.988,1.013,NA,NA,1,10.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","HBF4683",6,3,2400,"east","helichrysum_ecklonis","TS",0,NA,4.2,NA,0.423,NA,NA,0.596333333333333,NA,NA,NA,1,0.423,0.665,0.441,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922","HSK2104",7,4,2600,"west","helichrysum_pilosellum","TS",0,NA,6.8,NA,0.3754,NA,7.823,1.02033333333333,20.839104954715,NA,NA,1,0.3754,1.166,0.924,0.971,NA,NA,1,7.823,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","HCN6028",6,3,2400,"east","helichrysum_pallidum","TS",0,NA,22.6,NA,2.8562,0.3919,NA,0.628333333333333,NA,NA,0.137210279392199,1,2.8562,0.863,0.465,0.557,NA,NA,2,NA,1,2,1,2,0.3919,"no",NA,NA,1370
"924","HMV6534",7,3,2400,"east","senecio_glaberrimus","TS",0,NA,12.5,NA,0.827,0.1299,18.063,0.507666666666667,21.8415961305925,139.05311778291,0.157073760580411,1,0.827,0.506,0.513,0.504,NA,"senecio_glaberrimus",1,18.063,1,1,1,1,0.1299,"no",NA,NA,1367
"925","HHM3187",7,3,2400,"west","senecio_glaberrimus","TS",0,NA,14.2,32.9,0.6014,0.0968,11.453,0.595333333333333,19.0438975723312,118.316115702479,0.160957765214499,1,0.6014,0.587,0.589,0.61,NA,"senecio_glaberrimus",1,11.453,1,1,1,1,0.0968,"no",NA,NA,1364
"926","HTA6576",7,4,2600,"west","helichrysum_pilosellum","TS",0,NA,8.3,15.5,0.5157,0.1061,11.225,0.985333333333333,21.7665309288346,105.796418473139,0.205739771184797,1,0.5157,0.937,0.995,1.024,NA,NA,1,11.225,1,1,1,1,0.1061,"no",NA,NA,1580
"927","HJA5576",7,1,2000,"east","helichrysum_nudifolium","TSP",0,NA,NA,NA,0.171266666666667,NA,NA,NA,NA,NA,NA,3,0.5138,NA,NA,NA,"leaf HJA5576 cutout HIW7459. tip of the leaf is lost. has been scaled and scanned without the tip.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","DGF5725",6,2,2200,"west","acalypha_punctata","TS",1,1,18.5,NA,0.4371,0.1235,14.838,0.430333333333333,33.9464653397392,120.145748987854,0.282544040265385,1,0.4371,0.431,0.457,0.403,NA,NA,1,14.838,1,1,1,1,0.1235,"no",NA,NA,1699
"929","HCJ6694",6,3,2400,"east","helichrysum_ecklonis","TS",0,NA,10.2,NA,0.3336,0.0575,10.344,0.324333333333333,31.0071942446043,179.895652173913,0.172362110311751,1,0.3336,0.337,0.362,0.274,NA,NA,2,10.344,1,1,1,1,0.0575,"no",NA,NA,1702
"930","HEX5332",7,3,2400,"east","senecio_glaberrimus","TS",0,NA,19.5,NA,0.4462,0.0578,10.301,0.509,23.0860600627521,178.217993079585,0.129538323621694,1,0.4462,0.509,0.511,0.507,NA,"senecio_glaberrimus",1,10.301,1,1,1,1,0.0578,"no",NA,NA,1700
"931","HEX5332",7,3,2400,"east","senecio_glaberrimus","TS",0,NA,19.5,NA,0.4462,0.0578,10.301,0.509,23.0860600627521,178.217993079585,0.129538323621694,1,0.4462,0.509,0.511,0.507,NA,"senecio_glaberrimus",1,10.301,1,1,1,1,0.0578,"no",NA,NA,1701
"932","HHS1842",7,4,2600,"east","helichrysum_pilosellum","TS",0,NA,7.5,NA,0.4192,0.086,9.051,0.942333333333333,21.5911259541985,105.244186046512,0.205152671755725,1,0.4192,1.041,0.846,0.94,NA,NA,1,9.051,1,1,1,1,0.086,"no",NA,NA,1703
"933","CZD1282",6,2,2200,"west","acalypha_punctata","TS",2,3,14,NA,0.219,NA,8.611,0.479,39.3196347031963,NA,NA,1,0.219,0.512,0.425,0.5,NA,NA,1,8.611,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","CZA3576",6,2,2200,"east","hypoxis_costata","TS",2,1,9.5,NA,0.78215,0.157,16.5725,0.404,21.1883909735984,105.557324840764,0.200728760467941,2,1.5643,0.398,0.421,0.393,"bulk nr 2 because cut for scanning",NA,8,33.145,2,2,2,2,0.314,"no",NA,NA,1704
"935","HTC8156",6,2,2200,"east","thesium_sp1","T",4,1,10.5,NA,0.00594,NA,0.1998,0.395333333333333,33.6363636363636,NA,NA,10,0.0594,0.383,0.384,0.419,NA,"thesium_sp1",10,1.998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936","HPL5183",6,2,2200,"east","sporobolus_centrifugus","T",3,1,8,22,0.0244,NA,0.637,0.589333333333333,26.1065573770492,NA,NA,1,0.0244,0.667,0.572,0.529,NA,NA,1,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","EFY4248",6,2,2200,"east","helichrysum_nudifolium","T",1,3,6,NA,0.0939,NA,2.848,0.452333333333333,30.3301384451544,NA,NA,1,0.0939,0.407,0.436,0.514,NA,NA,2,2.848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","DQW2922",6,2,2200,"west","cyperus_semitrifidus","T",2,2,8.5,NA,0.0239333333333333,NA,0.516333333333333,0.639,21.5738161559889,NA,NA,3,0.0718,0.755,0.57,0.592,NA,NA,4,1.549,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","DKF6379",6,2,2200,"east","ficinia_cinnamomea","T",1,1,4,19.6,0.1895,NA,0.841,0.299333333333333,4.43799472295515,NA,NA,2,0.379,0.211,0.394,0.293,NA,NA,2,1.682,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","HRO2495",6,2,2200,"east","themeda_triandra","T",1,2,15.5,15,0.03935,NA,2.912,0.228333333333333,74.002541296061,NA,NA,2,0.0787,0.28,0.148,0.257,NA,NA,3,5.824,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","DFI8455",6,2,2200,"west","helichrysum_nudifolium","TS",2,3,6.8,NA,0.155,NA,5.646,0.399,36.4258064516129,NA,NA,1,0.155,0.406,0.356,0.435,NA,NA,1,5.646,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","DSP7646",6,2,2200,"west","hermannia_woodii","TS",3,1,6,4,0.2241,0.0585,9.96,0.209666666666667,44.4444444444444,170.25641025641,0.261044176706827,1,0.2241,0.217,0.206,0.206,NA,NA,1,9.96,1,1,1,1,0.0585,"no",NA,NA,1593
"943","DMA5591",6,3,2400,"west","helichrysum_pilosellum","TS",0,NA,6.2,NA,1.1473,NA,10.013,0.801666666666667,8.7274470495947,NA,NA,1,1.1473,0.782,0.806,0.817,NA,NA,18,10.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","DNG4703",6,2,2200,"east","senecio_glaberrimus","TS",3,3,14,NA,0.7134,NA,15.368,0.561666666666667,21.5419119708438,NA,NA,1,0.7134,0.564,0.605,0.516,NA,"senecio_glaberrimus",1,15.368,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","DHJ1188",6,2,2200,"east","diheteropogon_filifolius","T",4,3,16.5,NA,0.02498,0.0074,0.567,0.608,22.6981585268215,76.6216216216216,0.296236989591673,5,0.1249,0.623,0.641,0.56,NA,NA,5,2.835,5,5,5,5,0.037,"no",NA,NA,1592
"946","HRU4884",6,2,2200,"east","oxalis_depressa","T",5,2,1,NA,0.0158,0.00215,0.43675,0.301666666666667,27.6424050632911,203.139534883721,0.136075949367089,4,0.0632,0.294,0.324,0.287,NA,NA,4,1.747,4,4,4,4,0.0086,"no",NA,NA,1594
"947","DXV7327",6,2,2200,"west","craterocapsa_tarsodes","T",1,3,1.5,NA,0.01872,0.00318,0.528,0.364,28.2051282051282,166.037735849057,0.169871794871795,5,0.0936,0.331,0.374,0.387,NA,NA,5,2.64,5,5,5,5,0.0159,"no",NA,NA,1595
"948","HCE3986",6,3,2400,"west","helichrysum_pilosellum","TS",0,NA,5.8,NA,0.7809,0.157,9.825,0.843666666666667,12.5816365731848,62.5796178343949,0.201050070431553,1,0.7809,0.796,0.904,0.831,NA,NA,17,9.825,1,1,1,1,0.157,"no",NA,NA,222
"949","CZM9533",6,2,2200,"west","berkheya_rhapontica","TS",2,1,9.1,NA,1.0037,0.1844,20.077,0.509333333333333,20.0029889409186,108.877440347072,0.183720235130019,1,1.0037,0.541,0.494,0.493,NA,NA,1,20.077,1,1,1,1,0.1844,"no",NA,NA,318
"950","DVD8389",8,4,2600,"east","eulalia_villosa","T",4,3,14,NA,0.2451,0.0633,7.595,0.369333333333333,30.9873521011832,119.98420221169,0.258261933904529,1,0.2451,0.369,0.348,0.391,NA,NA,1,7.595,1,1,1,1,0.0633,NA,NA,NA,316
"951","CXF1657",8,4,2600,"east","senecio_glaberrimus","TS",1,2,13.5,NA,0.2474,0.0428,7.444,0.746666666666667,30.0889248181083,173.92523364486,0.172999191592563,1,0.2474,0.486,0.693,1.061,NA,"senecio_glaberrimus",1,7.444,1,1,1,1,0.0428,"no",NA,NA,317
"952","HBY6478",6,3,2400,"east","helichrysum_pallidum","TS",0,NA,10.3,NA,2.3643,0.3089,NA,0.392,NA,NA,0.130651778539102,1,2.3643,0.459,0.373,0.344,NA,NA,1,NA,1,1,1,1,0.3089,"no",NA,NA,315
"953","HGD1904",8,4,2600,"west","senecio_glaberrimus","TS",2,3,25.5,NA,0.9574,0.1649,20.191,0.727,21.0894088155421,122.44390539721,0.17223730937957,1,0.9574,0.625,0.61,0.946,NA,"senecio_glaberrimus",1,20.191,1,1,1,1,0.1649,"no",NA,NA,314
"954","HEN4864",8,5,2800,"west","senecio_glaberrimus","TS",4,2,18.5,NA,0.6371,0.0808,15.707,0.485666666666667,24.6539004865798,194.393564356436,0.126824674305447,1,0.6371,0.476,0.491,0.49,NA,"senecio_glaberrimus",2,15.707,1,1,1,1,0.0808,"no",NA,NA,313
"955","HEN4864",8,5,2800,"west","senecio_glaberrimus","TS",4,2,18.5,NA,0.6371,0.0808,15.707,0.485666666666667,24.6539004865798,194.393564356436,0.126824674305447,1,0.6371,0.476,0.491,0.49,NA,"senecio_glaberrimus",2,15.707,1,1,1,1,0.0808,"no",NA,NA,313
"956","DFA0304",8,4,2600,"east","agapanthus_campanulatus","T",4,1,17,NA,0.7938,0.1295,13.056,0.562333333333333,16.4474678760393,100.818532818533,0.163139329805996,1,0.7938,0.556,0.556,0.575,NA,"agapanthus_campanulatus",1,13.056,1,1,1,1,0.1295,"no",NA,NA,463
"957","DIL6011",8,4,2600,"east","kniphofia_porphyrantha","TS",4,1,21,NA,2.0272,0.1789,25.245,0.958,12.453137332281,141.112353269983,0.0882498026835043,1,2.0272,1.189,0.756,0.929,"leaf damaged","kniphofia_porphyrantha",1,25.245,1,1,1,1,0.1789,"no",NA,NA,638
"958","DIL6011",8,4,2600,"east","kniphofia_porphyrantha","TS",4,1,21,NA,2.0272,0.1789,25.245,0.958,12.453137332281,141.112353269983,0.0882498026835043,1,2.0272,1.189,0.756,0.929,"leaf damaged","kniphofia_porphyrantha",1,25.245,1,1,1,1,0.1789,"no",NA,NA,638
"959","DEY0593",8,4,2600,"east","bulbostylis_humilis","T",4,1,1,NA,0.0015,0.00065,0.074,0.193,49.3333333333333,113.846153846154,0.433333333333333,2,0.003,0.22,0.154,0.205,NA,NA,2,0.148,2,2,2,2,0.0013,"no",NA,NA,344
"960","HFU2432",8,4,2600,"west","senecio_glaberrimus","TS",2,2,19,NA,0.6233,0.1166,14.901,0.423,23.906626022782,127.795883361921,0.187068827210011,1,0.6233,0.414,0.435,0.42,NA,"senecio_glaberrimus",1,14.901,1,1,1,1,0.1166,"no",NA,NA,416
"961","DIB3099",8,5,2800,"east","senecio_erubescens","TS",3,1,16.7,NA,0.6346,0.0408,14.118,0.429,22.2470847778128,346.029411764706,0.0642924676961866,1,0.6346,0.468,0.402,0.417,NA,NA,1,14.118,1,1,1,1,0.0408,"no",NA,NA,327
"962","DIT4073",8,4,2600,"west","senecio_glaberrimus","TS",4,2,15.2,18.8,0.4093,0.0829,9.963,0.442,24.3415587588566,120.180940892642,0.202540923527975,1,0.4093,0.451,0.433,0.442,NA,"senecio_glaberrimus",1,9.963,1,1,1,1,0.0829,"no",NA,NA,326
"963","DIT4073",8,4,2600,"west","senecio_glaberrimus","TS",4,2,15.2,18.8,0.4093,0.0829,9.963,0.442,24.3415587588566,120.180940892642,0.202540923527975,1,0.4093,0.451,0.433,0.442,NA,"senecio_glaberrimus",1,9.963,1,1,1,1,0.0829,"no",NA,NA,326
"964","DIV3513",8,4,2600,"west","senecio_glaberrimus","TS",5,3,14.4,23.5,0.7926,0.1648,16.626,0.584333333333333,20.9765329295988,100.885922330097,0.207923290436538,1,0.7926,0.585,0.551,0.617,NA,"senecio_glaberrimus",1,16.626,1,1,1,1,0.1648,"no",NA,NA,906
"965","DIS8933",8,4,2600,"west","senecio_glaberrimus","TS",4,3,11.2,NA,0.7475,0.1266,17.973,0.493,24.0441471571906,141.96682464455,0.169364548494983,1,0.7475,0.511,0.518,0.45,NA,"senecio_glaberrimus",2,17.973,1,1,1,1,0.1266,"no",NA,NA,854
"966","DIS8933",8,4,2600,"west","senecio_glaberrimus","TS",4,3,11.2,NA,0.7475,0.1266,17.973,0.493,24.0441471571906,141.96682464455,0.169364548494983,1,0.7475,0.511,0.518,0.45,NA,"senecio_glaberrimus",2,17.973,1,1,1,1,0.1266,"no",NA,NA,854
"967","DDB7914",8,4,2600,"east","moraea_inclinata","T",1,3,15,NA,0.2473,0.08065,5.2875,0.696666666666667,21.3809138697938,65.5610663360198,0.326122118883947,2,0.4946,0.721,0.673,0.696,NA,NA,2,10.575,1,2,1,2,0.1613,"no",NA,NA,855
"968","GEB1121",9,5,2800,"east","senecio_glaberrimus","TS",0,NA,19,13,0.853,0.1483,19.857,0.514333333333333,23.2790152403283,133.897505057316,0.173856975381008,1,0.853,0.543,0.516,0.484,NA,"senecio_glaberrimus",2,19.857,1,1,1,1,0.1483,"no",NA,NA,427
"969","GEB1121",9,5,2800,"east","senecio_glaberrimus","TS",0,NA,19,13,0.853,0.1483,19.857,0.514333333333333,23.2790152403283,133.897505057316,0.173856975381008,1,0.853,0.543,0.516,0.484,NA,"senecio_glaberrimus",2,19.857,1,1,1,1,0.1483,"no",NA,NA,427
"970","HCW9083",5,2,2200,"west","helichrysum_ecklonis","TS",0,NA,2.5,NA,0.2098,NA,5.198,0.789666666666667,24.7759771210677,NA,NA,1,0.2098,0.738,0.72,0.911,NA,NA,1,5.198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","HDN4650",5,2,2200,"west","helichrysum_ecklonis","TS",0,NA,1.2,NA,0.3271,NA,5.452,0.7235,16.6676857230205,NA,NA,1,0.3271,NA,0.833,0.614,"first thickness clearly wrong (2.026)",NA,5,5.452,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","HDV2197",5,2,2200,"west","helichrysum_ecklonis","TS",0,NA,1.2,NA,0.153,0.0182,3.8,0.714,24.8366013071895,208.791208791209,0.118954248366013,1,0.153,0.781,0.722,0.639,NA,NA,1,3.8,1,1,1,1,0.0182,"no",NA,NA,144
"973","HEL7423",5,2,2200,"west","helichrysum_ecklonis","TS",0,NA,2.6,NA,0.2132,NA,5.438,0.703333333333333,25.5065666041276,NA,NA,1,0.2132,0.688,0.669,0.753,NA,NA,3,5.438,NA,NA,NA,NA,NA,NA,NA,NA,NA
