"curveid","tleaf_opt","tleaf_cond_opt","tleaf_vpdl_opt","tleaf_cond_vpdl_opt","weib_Topt","weib_breadth","tleaf_breadth","tleaf_cond_breadth","tleaf_vpdl_breadth","tleaf_cond_vpdl_breadth","tleaf_AIC","tleaf_cond_AIC","tleaf_vpdl_AIC","tleaf_cond_vpdl_AIC","tleaf_concurvity","tleaf_cond_concurvity","tleaf_vpdl_concurvity","tleaf_cond_vpdl_concurvity"
"1091",15.5385496296296,17.0329013468013,34.7160633333333,34.7160633333333,14.9703302109518,7.791,1.99246895622895,2.49058619528619,0.249058619528626,0.747175858585862,-390.87116732411,-1016.84037568891,-952.294099111306,-1035.93289113048,2.67894435363816e-28,0.99530420246164,0.999995042338595,0.999999250158002
"1095",19.5843621212121,19.5843621212121,27.2498704545455,27.0175823232323,20.1958803499636,10.217,3.01974570707071,3.01974570707071,2.55516944444445,2.55516944444445,-3583.14878364476,-3631.33618974793,-3796.43736491214,-3801.48321869251,1.63367022474551e-23,0.916177794322042,0.999962139965581,0.999966132134009
"1098",20.4963966329966,20.4963966329966,18.0048707070707,18.9108801346801,20.3932857158372,7.228,2.49152592592592,2.26502356902357,2.71802828282828,2.71802828282828,-485.707667542288,-684.664883282121,-767.033765124219,-771.898298618093,3.74736237304285e-23,0.991640253259904,0.999960516279781,0.99997550751684
"1100",18.2575074074074,18.4973333333333,18.9769851851852,18.4973333333333,18.4753954199214,8.517,2.15843333333334,2.15843333333334,1.91860740740741,2.15843333333333,-1512.61470961265,-1565.37503899716,-1530.14984931444,-1567.64380841649,3.03923702465483e-23,0.997223011407649,0.999987364481255,0.999990199161686
"1105",17.4519363636364,16.9313202020202,16.9313202020202,16.9313202020202,16.808539975717,7.507,3.12369696969697,2.86338888888889,3.38400505050505,3.38400505050505,671.87514336787,379.539309406873,279.11187792477,279.113436417721,2.30240803833557e-28,0.997780572961785,0.999988204255426,0.999991097301166
"1114",23.3443204713805,23.3443204713805,24.1378170370371,25.7248101683502,23.402901443227,9.722,3.17398626262626,3.17398626262626,3.17398626262626,3.70298397306398,-581.139752360891,-591.31124393623,-582.124528449103,-598.084343733807,1.23158475963033e-23,0.813458760081503,0.999936282091489,0.999945692310027
"1138",17.7511465909091,17.7511465909091,11.4521875,11.4521875,17.6757993355908,10.563,3.49942171717171,3.49942171717171,2.09965303030303,3.49942171717171,-2255.73882301844,-2617.66092241873,-3108.48967975494,-3216.330943809,2.09700852206162e-28,0.997572197094572,0.999988781936019,0.999991604222646
"1139",15.65508767018,15.3864247035573,18.6103803030303,18.6103803030303,16.7046719778352,10.45,5.37325933245499,5.91058526570049,3.7612815327185,3.7612815327185,-3341.75536280332,-3504.16659859008,-3500.20230291397,-3612.79542742107,3.95716835675103e-24,0.974697131869051,0.999979087426172,0.999988745211094
"1143",18.563427946128,18.563427946128,23.0150319191919,17.2541326599327,19.3581101110771,6.286,3.40416774410775,3.40416774410775,4.18974491582492,3.92788585858586,1197.74839125252,768.317794540694,86.9083031729506,43.5826779023959,6.8626098383608e-29,0.970869900685527,0.999902393983614,0.999964568744546
"1145",22.7175565656566,22.9577942760943,24.6394582491583,24.879695959596,23.3655974246857,7.54799999999999,2.64261481481482,2.88285252525253,3.12309023569025,3.12309023569025,-948.579400678847,-961.480601066483,-992.098678212904,-991.659417171986,1.31709221352065e-23,0.882640920324415,0.999992930339308,0.999993525192609
