"","row_label","curveid","topt_temp","topt_temp_cond","topt_weib","breadth_temp","breadth_temp_cond","breadth_weib","AIC_tleaf","AIC_tleaf_cond","concurvity_tleaf.para","concurvity_tleaf.s.tleaf.","concurvity_tleaf_cond.para","concurvity_tleaf_cond.s.cond.","concurvity_tleaf_cond.s.tleaf."
"1","worst",1091,15.5385496296296,17.0329013468013,14.9703302109518,6.0170662561576,6.397020945083,7.791,-390.87116732411,-1016.84031084118,2.67894435363816e-28,2.02439651090929e-28,3.18734360999662e-27,0.99530420246164,0.995304202461639
"2","worst1",1095,19.5843621212121,19.5843621212121,20.1958803499636,10.6631541666666,10.6631541666666,10.217,-3583.14878364476,-3631.33618974793,1.63367022474551e-23,1.63184330483198e-23,3.42856572145642e-23,0.916177794322043,0.916177794322043
"3","worst2",1098,20.4963966329966,20.4963966329966,20.3932857158372,6.4526,6.5055666666667,7.228,-485.707667542288,-684.664160360813,3.74736237304284e-23,3.74721293868144e-23,2.83962426591639e-22,0.991640253259903,0.991640253259902
"4","worst3",1100,18.2575074074074,18.4973333333333,18.4753954199214,6.6553333333333,6.9634666666667,8.517,-1512.61470961265,-1565.37503899716,3.03923702465483e-23,3.03661244319471e-23,4.21367456598581e-22,0.997223011407647,0.997223011407648
"5","worst4",1105,17.4519363636364,16.9313202020202,16.808539975717,6.7731333333334,7.5690333333333,7.507,671.87514336787,379.540182515703,2.2289489349635e-28,2.30240803833557e-28,8.24755359109227e-24,0.997780572961784,0.997780572961785
"6","worst5",1114,23.3443204713805,23.3443204713805,23.402901443227,9.4154,9.2091666666667,9.722,-581.139752360891,-591.31124393623,1.23126750734402e-23,1.23158475963033e-23,2.33327316026752e-23,0.813458760081501,0.813458760081501
"7","worst6",1138,17.7511465909091,17.7511465909091,17.6757993355908,10.4589333333333,10.3490333333333,10.563,-2255.73882301844,-2617.65917605406,2.09700852206162e-28,1.97027671848775e-28,5.38244557436983e-23,0.997572197094572,0.997572197094573
"8","worst7",1139,15.65508767018,15.3864247035573,16.7046719778352,10.8491601666667,11.0473643333333,10.45,-3341.75536280332,-3504.16659859008,3.95716835675103e-24,3.95068297629589e-24,1.61362230289948e-23,0.974697131869052,0.974697131869051
"9","worst8",1143,18.563427946128,18.563427946128,19.3581101110771,6.7618666666667,6.4313666666667,6.286,1197.74839125252,768.317715175149,6.8626098383608e-29,6.81136936530965e-29,1.09171948788428e-27,0.970869900685527,0.970869900685527
"10","worst9",1145,22.7175565656566,22.9577942760943,23.3655974246857,6.1182333333333,6.0776,7.54799999999999,-948.579400678847,-961.480601066483,1.31709221352065e-23,1.31673766461614e-23,3.83484834914162e-23,0.882640920324416,0.882640920324416
"11","worst10",1157,16.3757524579125,17.8506793265993,16.9926538596991,9.9287666666667,10.5564666666667,9.227,-1140.24998661539,-1219.39704279051,3.61692926864086e-25,3.61618542412017e-25,1.00057962806392e-23,0.999002919805965,0.999002919805964
"12","worst11",1158,18.4860611363636,18.8995025,18.4028025966328,8.25345,8.6878333333334,8.166,-2747.27210264458,-3508.9081043323,2.31557077720777e-28,2.18178665347642e-28,1.306826015515e-26,0.99516947854546,0.995169478545461
"13","worst12",1159,16.091896969697,19.0108587878788,16.9980666467329,11.2851666666667,11.3439,10.471,-1196.20431182384,-1224.31418494614,7.05858322259483e-28,6.63788615439131e-28,4.06596369450679e-22,0.995580251211833,0.995580251211833
"14","worst13",1160,16.516388989899,15.8561265656566,16.7886794713062,12.0197,12.0634,12.076,-1041.49148301782,-1052.25342778654,3.01463274936387e-28,2.66202063028435e-28,1.54300553011814e-27,0.940650823119078,0.940650823119077
"15","worst14",1006,16.4677575757575,16.7175525252525,17.0170698512209,9.5337333333333,8.9578,NA,-620.581698048275,-679.336249381251,6.83687985183757e-28,7.29169524110745e-28,2.19999065366634e-27,0.998713889829611,0.99871388982961
"16","worst15",1019,18.522269503367,13.1182313552189,17.4021138718973,8.9987291666667,9.7398625,10.633,-1675.0169649558,-3399.85078523293,4.0578640904461e-24,4.06043928463896e-24,2.46094263446588e-23,0.972011401390467,0.972011401390469
"17","worst16",1037,20.5466538720539,20.0278511784512,20.9860535237043,10.7987666666666,10.3524,10.382,-995.17050558298,-1036.84984098183,1.09541336539578e-23,1.09496271196501e-23,6.69594379945261e-23,0.966723764468941,0.966723764468941
"18","worst17",1045,17.4918491582492,17.982696969697,17.6567305545552,9.3668333333333,7.7755,NA,138.795392445857,13.1192498334424,5.95271558857404e-28,6.14966289829873e-28,1.94923721386087e-26,0.994377259359187,0.994377259359187
"19","worst18",1026,16.0161127272727,16.0161127272727,15.900555232445,8.5002,8.1632,10.156,-410.048240529121,-415.465565695066,8.87016582041198e-24,8.85759286490478e-24,3.73815244341605e-23,0.936373759212867,0.936373759212868
"20","worst19",1057,18.4216080808081,18.4216080808081,18.1682375296339,4.5528666666667,4.4337333333334,4.614,-2154.77698686846,-2155.76089937124,5.77398130180853e-29,6.96392873186499e-29,2.09215202203192e-27,0.843239633144,0.843239633143999
"21","worst20",1068,24.2117232323232,23.5242363636363,24.3219181713756,7.0742333333333,6.4161333333333,6.592,-1774.97181455611,-1815.14289801697,3.28881825818075e-24,3.28994211788508e-24,6.27498145778496e-23,0.996111397335474,0.996111397335475
"22","worst21",1075,9.80179291666667,9.80179291666667,14.4378852071223,9.0247080666667,7.6889289,NA,-3547.35308491866,-3929.16185058707,2.66166609212497e-24,2.65259213028567e-24,1.9900317844173e-23,0.986968470666756,0.986968470666758
