curveid,tleaf_opt,tleaf_cond_opt,weib_Topt,weib_breadth,tleaf_breadth,tleaf_cond_breadth
1091,15.5385496296296,17.0329013468013,14.9703302109518,7.791,1,1
1091,15.5385496296296,17.0329013468013,14.9703302109518,7.791,100,100
1091,15.5385496296296,17.0329013468013,14.9703302109518,7.791,24.6568033333333,24.6568033333333
1095,19.5843621212121,19.5843621212121,20.1958803499636,10.217,57,56
1095,19.5843621212121,19.5843621212121,20.1958803499636,10.217,27,27
1095,19.5843621212121,19.5843621212121,20.1958803499636,10.217,6.96864393939394,6.73635580808081
1098,20.4963966329966,20.4963966329966,20.3932857158372,7.228,1,1
1098,20.4963966329966,20.4963966329966,20.3932857158372,7.228,100,100
1098,20.4963966329966,20.4963966329966,20.3932857158372,7.228,22.4237333333333,22.4237333333333
1100,18.2575074074074,18.4973333333333,18.4753954199214,8.517,1,1
1100,18.2575074074074,18.4973333333333,18.4753954199214,8.517,100,100
1100,18.2575074074074,18.4973333333333,18.4753954199214,8.517,23.7427666666667,23.7427666666667
1105,17.4519363636364,16.9313202020202,16.808539975717,7.507,1,1
1105,17.4519363636364,16.9313202020202,16.808539975717,7.507,100,100
1105,17.4519363636364,16.9313202020202,16.808539975717,7.507,25.7705,25.7705
1114,23.3443204713805,23.3443204713805,23.402901443227,9.722,62,64
1114,23.3443204713805,23.3443204713805,23.402901443227,9.722,44,43
1114,23.3443204713805,23.3443204713805,23.402901443227,9.722,4.7609793939394,5.55447595959596
1138,17.7511465909091,17.7511465909091,17.6757993355908,10.563,1,1
1138,17.7511465909091,17.7511465909091,17.6757993355908,10.563,100,100
1138,17.7511465909091,17.7511465909091,17.6757993355908,10.563,23.0961833333333,23.0961833333333
1139,15.65508767018,15.3864247035573,16.7046719778352,10.45,1,1
1139,15.65508767018,15.3864247035573,16.7046719778352,10.45,100,100
1139,15.65508767018,15.3864247035573,16.7046719778352,10.45,26.5976336956522,26.5976336956522
1143,18.563427946128,18.563427946128,19.3581101110771,6.286,1,1
1143,18.563427946128,18.563427946128,19.3581101110771,6.286,100,100
1143,18.563427946128,18.563427946128,19.3581101110771,6.286,25.9240466666667,25.9240466666667
1145,22.7175565656566,22.9577942760943,23.3655974246857,7.54799999999999,62,65
1145,22.7175565656566,22.9577942760943,23.3655974246857,7.54799999999999,43,42
1145,22.7175565656566,22.9577942760943,23.3655974246857,7.54799999999999,4.56451649831652,5.52546734006736
1157,16.3757524579125,17.8506793265993,16.9926538596991,9.227,1,1
1157,16.3757524579125,17.8506793265993,16.9926538596991,9.227,100,100
1157,16.3757524579125,17.8506793265993,16.9926538596991,9.227,24.3362933333333,24.3362933333333
1158,18.4860611363636,18.8995025,18.4028025966328,8.166,1,60
1158,18.4860611363636,18.8995025,18.4028025966328,8.166,100,52
1158,18.4860611363636,18.8995025,18.4028025966328,8.166,20.4653475,1.65376545454545
1159,16.091896969697,19.0108587878788,16.9980666467329,10.471,68,72
1159,16.091896969697,19.0108587878788,16.9980666467329,10.471,23,35
1159,16.091896969697,19.0108587878788,16.9980666467329,10.471,9.38237727272726,7.71439909090908
1160,16.516388989899,15.8561265656566,16.7886794713062,12.076,61,58
1160,16.516388989899,15.8561265656566,16.7886794713062,12.076,25,24
1160,16.516388989899,15.8561265656566,16.7886794713062,12.076,7.92314909090909,7.48297414141414
1006,16.4677575757575,16.7175525252525,17.0170698512209,,1,1
1006,16.4677575757575,16.7175525252525,17.0170698512209,,100,100
1006,16.4677575757575,16.7175525252525,17.0170698512209,,24.7297,24.7297
1019,18.522269503367,13.1182313552189,17.4021138718973,10.633,51,43
1019,18.522269503367,13.1182313552189,17.4021138718973,10.633,33,1
1019,18.522269503367,13.1182313552189,17.4021138718973,10.633,4.42148575757576,10.3168001010101
1037,20.5466538720539,20.0278511784512,20.9860535237043,10.382,46,48
1037,20.5466538720539,20.0278511784512,20.9860535237043,10.382,36,31
1037,20.5466538720539,20.0278511784512,20.9860535237043,10.382,2.59401346801347,4.40982289562289
1045,17.4918491582492,17.982696969697,17.6567305545552,,1,1
1045,17.4918491582492,17.982696969697,17.6567305545552,,100,100
1045,17.4918491582492,17.982696969697,17.6567305545552,,24.2969666666666,24.2969666666666
1026,16.0161127272727,16.0161127272727,15.900555232445,10.156,34,41
1026,16.0161127272727,16.0161127272727,15.900555232445,10.156,22,17
1026,16.0161127272727,16.0161127272727,15.900555232445,10.156,2.87794787878788,5.75589575757576
1057,18.4216080808081,18.4216080808081,18.1682375296339,4.614,33,33
1057,18.4216080808081,18.4216080808081,18.1682375296339,4.614,5,4
1057,18.4216080808081,18.4216080808081,18.1682375296339,4.614,5.65665050505051,5.85867373737374
1068,24.2117232323232,23.5242363636364,24.3219181713756,6.592,52,52
1068,24.2117232323232,23.5242363636364,24.3219181713756,6.592,47,40
1068,24.2117232323232,23.5242363636364,24.3219181713756,6.592,1.14581144781145,2.74994747474748
1075,9.80179291666667,9.80179291666667,14.4378852071223,,12,4
1075,9.80179291666667,9.80179291666667,14.4378852071223,,1,1
1075,9.80179291666667,9.80179291666667,14.4378852071223,,2.80806310587762,0.765835392512077
1078,15.8559161616161,15.6000484848485,15.5957465749695,,26,25
1078,15.8559161616161,15.6000484848485,15.5957465749695,,5,2
1078,15.8559161616161,15.6000484848485,15.5957465749695,,5.37322121212121,5.88495656565656
1092,19.0576778939394,18.7977247811448,18.0500769168942,6.824,1,1
1092,19.0576778939394,18.7977247811448,18.0500769168942,6.824,100,100
1092,19.0576778939394,18.7977247811448,18.0500769168942,6.824,25.7353581666667,25.7353581666667
1094,17.6922452861953,17.6922452861953,19.334157319563,8.307,1,1
1094,17.6922452861953,17.6922452861953,19.334157319563,8.307,100,100
1094,17.6922452861953,17.6922452861953,19.334157319563,8.307,26.5204979166667,26.5204979166667
1112,24.9411507070707,24.7017580808081,24.630458593914,9.116,70,1
1112,24.9411507070707,24.7017580808081,24.630458593914,9.116,62,100
1112,24.9411507070707,24.7017580808081,24.630458593914,9.116,1.91514101010101,23.69987
1113,26.8727239057239,26.8727239057239,27.1502909479769,7.273,1,1
1113,26.8727239057239,26.8727239057239,27.1502909479769,7.273,100,100
1113,26.8727239057239,26.8727239057239,27.1502909479769,7.273,22.4899333333333,22.4899333333333
1119,20.8340194949495,21.2933246127946,20.9713143904841,6.761,1,1
1119,20.8340194949495,21.2933246127946,20.9713143904841,6.761,100,100
1119,20.8340194949495,21.2933246127946,20.9713143904841,6.761,22.7356033333333,22.7356033333333
1121,16.4549872138047,16.2033113468014,16.4059512179975,8.787,1,1
1121,16.4549872138047,16.2033113468014,16.4059512179975,8.787,100,100
1121,16.4549872138047,16.2033113468014,16.4059512179975,8.787,24.9159108333333,24.9159108333333
1122,13.654803479021,13.3959336778037,12.5629187982543,8.078,40,40
1122,13.654803479021,13.3959336778037,12.5629187982543,8.078,8,5
1122,13.654803479021,13.3959336778037,12.5629187982543,8.078,8.28383363895365,9.06044304260555
1125,15.0388866666667,14.3089266666667,14.5415076360782,7.862,1,1
1125,15.0388866666667,14.3089266666667,14.5415076360782,7.862,100,100
1125,15.0388866666667,14.3089266666667,14.5415076360782,7.862,24.08868,24.08868
1124,15.2978456565657,15.0404494949495,15.5847990625282,9.632,53,51
1124,15.2978456565657,15.0404494949495,15.5847990625282,9.632,22,22
1124,15.2978456565657,15.0404494949495,15.5847990625282,9.632,7.97928101010101,7.46448868686869
1129,14.8556143434343,14.610896969697,14.154336833875,8.861,1,1
1129,14.8556143434343,14.610896969697,14.154336833875,8.861,100,100
1129,14.8556143434343,14.610896969697,14.154336833875,8.861,24.22702,24.22702
1131,18.2538465319865,18.5230909427609,18.1718499049848,8.223,1,1
1131,18.2538465319865,18.5230909427609,18.1718499049848,8.223,100,100
1131,18.2538465319865,18.5230909427609,18.1718499049848,8.223,26.6551966666667,26.6551966666667
1142,23.3066424242424,23.3066424242424,23.2043675258839,6.832,67,67
1142,23.3066424242424,23.3066424242424,23.2043675258839,6.832,35,35
1142,23.3066424242424,23.3066424242424,23.2043675258839,6.832,7.3356606060606,7.3356606060606
1146,28.3582193939394,28.3582193939394,29.0475590987612,6.016,1,1
1146,28.3582193939394,28.3582193939394,29.0475590987612,6.016,100,100
1146,28.3582193939394,28.3582193939394,29.0475590987612,6.016,25.16733,25.16733
1147,23.3817487878788,23.6081482154882,22.6711247840188,6.642,80,80
1147,23.3817487878788,23.6081482154882,22.6711247840188,6.642,66,66
1147,23.3817487878788,23.6081482154882,22.6711247840188,6.642,3.16959198653198,3.16959198653198
1149,13.6170913888889,14.126984452862,14.7546613478411,6.52,1,1
1149,13.6170913888889,14.126984452862,14.7546613478411,6.52,100,100
1149,13.6170913888889,14.126984452862,14.7546613478411,6.52,25.2397066666667,25.2397066666667
1153,15.6355215488215,15.6355215488215,15.7568450389892,8.681,49,50
1153,15.6355215488215,15.6355215488215,15.7568450389892,8.681,29,28
1153,15.6355215488215,15.6355215488215,15.7568450389892,8.681,5.22373063973064,5.7461037037037
1162,14.5590608080808,14.5590608080808,13.5236073927128,9.425,62,62
1162,14.5590608080808,14.5590608080808,13.5236073927128,9.425,1,1
1162,14.5590608080808,14.5590608080808,13.5236073927128,9.425,13.587558989899,13.587558989899
1163,22.021768476431,21.5130190488216,20.4437856313812,7.666,66,64
1163,22.021768476431,21.5130190488216,20.4437856313812,7.666,24,26
1163,22.021768476431,21.5130190488216,20.4437856313812,7.666,10.683737979798,9.66623912457914
1030,22.7190264646465,22.491146936027,22.7326788916577,4.748,1,1
1030,22.7190264646465,22.491146936027,22.7326788916577,4.748,100,100
1030,22.7190264646465,22.491146936027,22.7326788916577,4.748,22.5600733333334,22.5600733333334
1035,26.9805787878788,24.9113939393939,25.9172390512383,8.387,1,1
1035,26.9805787878788,24.9113939393939,25.9172390512383,8.387,100,100
1035,26.9805787878788,24.9113939393939,25.9172390512383,8.387,22.7610333333333,22.7610333333333
1039,16.9960228956229,17.8633548821549,18.3618305779055,8.634,46,48
1039,16.9960228956229,17.8633548821549,18.3618305779055,8.634,21,25
1039,16.9960228956229,17.8633548821549,18.3618305779055,8.634,5.42082491582493,4.98715892255893
1052,26.4699444444444,26.8617888888889,26.7498674706632,6.218,80,80
1052,26.4699444444444,26.8617888888889,26.7498674706632,6.218,51,55
1052,26.4699444444444,26.8617888888889,26.7498674706632,6.218,5.68174444444444,4.89805555555556
52,25.7545439393939,25.7545439393939,25.38168177973,14.258,1,1
52,25.7545439393939,25.7545439393939,25.38168177973,14.258,100,100
52,25.7545439393939,25.7545439393939,25.38168177973,14.258,21.86445,21.86445
48,21.4408560606061,21.4408560606061,22.7493513207721,10.565,69,52
48,21.4408560606061,21.4408560606061,22.7493513207721,10.565,28,36
48,21.4408560606061,21.4408560606061,22.7493513207721,10.565,9.42258686868687,3.67710707070707
58,22.9621971030821,22.4729248756799,22.8466658905684,6.613,1,1
58,22.9621971030821,22.4729248756799,22.8466658905684,6.613,100,100
58,22.9621971030821,22.4729248756799,22.8466658905684,6.613,24.2189752564102,24.2189752564102
59,17.9012613830614,14.9965989121989,17.347941104945,6.211,1,1
59,17.9012613830614,14.9965989121989,17.347941104945,6.211,100,100
59,17.9012613830614,14.9965989121989,17.347941104945,6.211,23.9634653846154,23.9634653846154
57,19.9149287878788,19.6798318181818,20.6130113721183,9.033,1,1
57,19.9149287878788,19.6798318181818,20.6130113721183,9.033,100,100
57,19.9149287878788,19.6798318181818,20.6130113721183,9.033,23.2746,23.2746
61,20.8280045454545,20.8280045454545,21.2073256245584,7.742,1,1
61,20.8280045454545,20.8280045454545,21.2073256245584,7.742,100,100
61,20.8280045454545,20.8280045454545,21.2073256245584,7.742,21.77265,21.77265
62,18.5987111111111,18.5987111111111,18.1692161748481,7.319,1,1
62,18.5987111111111,18.5987111111111,18.1692161748481,7.319,100,100
