"","X","curveID","J_ref","J_ref_SE","E","E_SE","E_D","E_D_SE","T_opt","T_opt_SE","AIC","r_sq","breadth"
"1","J_ref",1,0.0974208586980785,0.00267953436883452,0.598320351139258,0.0107172626119223,1.07216776314917,0.00292316606250786,22.4197575941091,0.0369063440190489,-522.262318410184,0.994300499486093,14.3029153846154
"2","J_ref1",2,0.178499639768413,0.00350809304208934,0.61952098374272,0.00705084537303766,1.0733475901457,0.00240612070346881,23.0262976544752,0.0218623677524987,-347.89157473198,0.998504426975393,12.6635538461539
"3","J_ref2",3,0.0830907222383801,0.00235048606834291,0.551818629980012,0.0118223716274076,1.17718150847136,0.00422179555757988,21.7306128023714,0.0469360580838993,-300.598382775736,0.990347460056593,14.3652820512821
"4","J_ref3",4,0.184757446868986,0.0056416531700121,0.887782605832145,0.0120339820182796,1.15351926514361,0.00741618830978718,23.0292654615031,0.0324907135114468,-671.066733859472,0.995931309994996,14.45915
"5","J_ref4",5,0.106831202156065,0.00190315633715891,0.458739646219599,0.00752525911096075,1.12550061053166,0.00539430183020236,23.1011384574241,0.0370428317747312,-209.773850559168,0.994122483064319,14.5422
"6","J_ref5",6,0.0635977649395286,0.0010513546016623,0.473861832324404,0.00782256705815648,1.40508002562199,0.0143226891683542,23.3543378286947,0.0341604941301477,-339.881542913616,0.993772292273453,11.2805
"7","J_ref6",7,0.0840774095367037,0.00173760505026211,0.604710294806769,0.00886674183090797,1.13602741400434,0.00269715614956411,23.3918491339019,0.0350650111022788,-537.18878947329,0.99354798789646,15.02685
"8","J_ref7",9,0.0890798642615402,0.000944599708052943,0.734174344131576,0.00433203686440835,1.13084664071973,0.00136545170084944,25.0181192854301,0.0132715182849779,-1252.47457727494,0.999353890454148,13.7047076923077
"9","J_ref8",10,0.107693403296924,0.00615270111315632,0.700050379344001,0.0214727436439035,0.950226062022578,0.0116996975838577,25.5427600435898,0.0804486869249383,-195.98138194349,0.981771460211805,16.4381852564102
"10","J_ref9",11,0.0507305530022326,0.000174264691293903,0.297346939630501,0.00205762236230755,2.03948440793347,0.00790918654881675,21.9850161977299,0.0181785150178393,-703.434623634344,0.997659561980484,13.8526307692308
"11","J_ref10",12,0.0470845431643623,0.00142029451289116,0.565609038839673,0.0108978313083244,0.892443931357087,0.00267042354760203,27.1603445442663,0.0355645656481852,-1088.86092284006,0.996579006494464,13.06885
"12","J_ref11",13,0.110465603158459,0.00234308184436927,0.589178434562061,0.00932117393536061,1.25615605117375,0.00374472429735233,22.1425792021811,0.0413797265993677,-113.839251176515,0.993348928639631,15.8923923076923
"13","J_ref12",14,0.0756306830726972,0.00111136574113906,0.530392017714545,0.00589717868704965,1.12347014402417,0.00215288177936676,21.7596905827226,0.0212881955443109,-890.125185995151,0.99769424500498,13.45605
"14","J_ref13",15,0.0846090117274839,0.00302446821727179,0.670225509469418,0.0147396888776024,1.08062385538861,0.00521607652508901,23.1914863552789,0.0386072024679502,-697.21622177639,0.992857266223873,13.30655
"15","J_ref14",17,0.124517674816455,0.00216080904702601,0.591841233438054,0.00682965189114167,0.937118396570162,0.0017858674817295,27.4903279090284,0.0229818862694614,-587.013768029012,0.998364460661046,13.73775
"16","J_ref15",21,0.0336823804313339,0.000594347351024186,0.623149908797804,0.00683135689723956,1.044929126448,0.0022865413360871,22.5660624308717,0.023478167524043,-1872.21745030377,0.997160974841441,14.1207256410256
"17","J_ref16",22,0.0218861687724204,0.000208225838199831,0.154306318355824,0.00646064418898373,2.23005894231814,0.0171670450595254,18.6476126445299,0.0580039465835124,-529.843072541261,0.997468049055184,NA
"18","J_ref17",25,0.0451119287970532,0.000574227576885531,0.336384484834878,0.00754350674458667,1.38429220544068,0.00383861644903066,20.535532067874,0.028545916163545,-686.978812402765,0.997965474791568,NA
"19","J_ref18",26,0.0319457451110622,0.000374262307189687,0.255957009394189,0.00758183704320028,1.63470070923813,0.0130356375919099,21.9647002953175,0.0466331967415757,-173.446847381786,0.992276877718292,NA
"20","J_ref19",27,0.0352254231955274,0.00272113691111658,0.372133223314131,0.0419899368173491,1.7173865110204,0.0202548791863447,16.8479956146956,0.121603595661823,-25.9898782023279,0.987322726349436,NA
"21","J_ref20",28,0.145761937238531,0.00491578265450253,0.617823966542373,0.0136066639495641,0.954201129365578,0.0084811673179044,20.863805730721,0.0247076900529468,-873.967995077463,0.99755420871383,12.2446
"22","J_ref21",31,0.0166084474796258,0.000209297474592511,0.252442314397786,0.0111615837021079,2.74106614503516,0.0195648472232258,20.1354160784469,0.0511549941870691,-826.221238536827,0.99654368932882,NA
"23","J_ref22",33,0.131968668952683,0.00962682068825036,0.783716409656855,0.0328946145308523,1.26525022699493,0.0173617866020665,20.8708079043241,0.0763532585523453,-31.6292549977501,0.972470577589718,13.4762
"24","J_ref23",38,0.125562517503672,0.00761340572296752,0.815270028017483,0.0254067436956673,1.09946686149076,0.0139582017830745,24.663794985148,0.0625756081073364,-293.569556346928,0.987823509585982,13.6668692307692
