"","curveid","topt_temp","topt_temp_cond","topt_weib","breadth_temp","breadth_temp_cond","breadth_weib"
"111",78,25.18285,26.63145,26.2540084343599,10.53955,10.0412,9.855
"112",79,17.97492,13.44748,22.5401660440197,9.58404,0.78586,6.529
"113",81,19.24495,18.31565,19.8363904626488,9.39545,8.8141,9.526
"114",82,20.39828,21.63248,20.6644267188966,10.506535,9.142725,10.259
"115",1054,14.3338666666667,14.3648583333333,15.5009925951273,8.4066083333334,7.7032458333334,7.435
"116",1063,19.7841666666667,19.8397,19.9579927757504,10.8443666666667,10.8222333333334,NA
"117",1097,21.4154,21.0266666666667,22.2671049567103,8.2598,8.2104333333334,7.791
"118",1101,18.6953666666667,18.6953666666667,19.3789650366542,9.7036333333333,9.6139,9.401
"119",1108,14.8948333333333,11.2722666666667,16.1195194704139,8.9182333333333,7.6156666666666,NA
"120",1151,15.5544086956522,15.8319416666667,14.1046871732029,8.6769625,8.6529125,7.001
"121",1155,18.0619,18.0854666666667,17.5656117010406,7.6891666666666,8.0959,6.871
"122",1004,15.2987875,14.4185166666667,16.6361326470059,7.9002108974359,8.0515733974359,7.652
"123",1014,19.313925,19.3615,19.9021332652291,8.4269875,8.4168333333334,8.322
"124",1025,16.4411666666667,16.1353666666667,15.7203342399073,8.3758666666667,6.1173,6.212
